,Enrolment,Department
AC102,591,AC
AC103,224,AC
AC200,133,AC
AC311,146,AC
AC312,133,AC
AC331,155,AC
AC332,71,AC
AC341,80,AC
AC342,129,AC
AN100,132,AN
AN101,77,AN
AN102,61,AN
AN200,80,AN
AN205,21,AN
AN226,69,AN
AN237,28,AN
AN243,47,AN
AN256,46,AN
AN276,26,AN
AN284,39,AN
AN298,41,AN
AN301,48,AN
AN303,40,AN
AN357,51,AN
AN397,41,AN
EC1A1,264,EC
EC1A3,847,EC
EC1A5,185,EC
EC1B1,263,EC
EC1B3,821,EC
EC1B5,178,EC
EC1C1,262,EC
EC1P1,262,EC
EC241,40,EC
EC2A0,54,EC
EC2A1,243,EC
EC2A3,385,EC
EC2A5,117,EC
EC2B1,241,EC
EC2B3,341,EC
EC2B5,114,EC
EC2C1,242,EC
EC2C3,382,EC
EC2C4,314,EC
EC302,43,EC
EC307,238,EC
EC310,35,EC
EC311,62,EC
EC313,55,EC
EC317,68,EC
EC319,10,EC
EC321,55,EC
EC325,249,EC
EC331,8,EC
EC333,24,EC
EH101,131,EH
EH102,63,EH
EH204,39,EH
EH207,38,EH
EH209,17,EH
EH214,7,EH
EH215,11,EH
EH217,8,EH
EH218,3,EH
EH221,34,EH
EH222,24,EH
EH237,73,EH
EH238,8,EH
EH240,98,EH
EH306,13,EH
EH307,10,EH
EH308,16,EH
EH312,17,EH
EH314,15,EH
EH316,16,EH
EH317,15,EH
EH326,16,EH
EH327,10,EH
EH390,69,EH
FM100,73,FM
FM101,409,FM
FM200,55,FM
FM201,55,FM
FM212,279,FM
FM213,454,FM
FM300,348,FM
FM301,59,FM
FM302,59,FM
FM304,59,FM
FM305,59,FM
FM321,168,FM
FM322,158,FM
GV100,316,GV
GV101,386,GV
GV225,46,GV
GV248,96,GV
GV251,84,GV
GV262,75,GV
GV263,86,GV
GV264,81,GV
GV267,41,GV
GV302,15,GV
GV307,29,GV
GV311,54,GV
GV313,18,GV
GV315,29,GV
GV316,28,GV
GV318,26,GV
GV321,28,GV
GV324,16,GV
GV325,13,GV
GV326,17,GV
GV327,14,GV
GV328,16,GV
GV329,16,GV
GV330,24,GV
GV332,16,GV
GV334,13,GV
GV336,18,GV
GV337,16,GV
GV338,14,GV
GV390,39,GV
GV3L1,10,GV
GV3L2,16,GV
GY100,99,GY
GY101,91,GY
GY103,65,GY
GY120,46,GY
GY121,81,GY
GY140,56,GY
GY144,49,GY
GY202,100,GY
GY206,65,GY
GY207,64,GY
GY209,74,GY
GY210,73,GY
GY220,51,GY
GY222,99,GY
GY245,66,GY
GY246,32,GY
GY247,25,GY
GY248,16,GY
GY307,61,GY
GY308,11,GY
GY309,68,GY
GY310,48,GY
GY311,49,GY
GY313,59,GY
GY314,56,GY
GY315,53,GY
GY316,44,GY
GY326,89,GY
GY327,35,GY
GY328,51,GY
GY329,47,GY
GY331,52,GY
GY350,57,GY
HY113,173,HY
HY116,146,HY
HY118,55,HY
HY120,109,HY
HY200,15,HY
HY206,59,HY
HY235,25,HY
HY242,30,HY
HY243,24,HY
HY245,52,HY
HY246,30,HY
HY247,27,HY
HY300,70,HY
HY311,14,HY
HY315,10,HY
HY320,15,HY
HY322,15,HY
HY323,16,HY
HY327,15,HY
HY328,29,HY
HY329,14,HY
HY330,13,HY
HY332,14,HY
HY333,15,HY
HY334,14,HY
HY335,15,HY
HY336,7,HY
IR100,167,IR
IR101,104,IR
IR102,89,IR
IR200,25,IR
IR202,125,IR
IR203,59,IR
IR205,102,IR
IR206,130,IR
IR305,40,IR
IR312,13,IR
IR314,13,IR
IR315,30,IR
IR317,29,IR
IR318,15,IR
IR323,28,IR
IR345,29,IR
IR349,53,IR
IR355,14,IR
IR367,40,IR
IR368,40,IR
IR369,41,IR
IR373,29,IR
IR377,15,IR
IR379,30,IR
IR380,28,IR
IR395,16,IR
IR398,61,IR
LL100,208,LL
LL104,224,LL
LL106,216,LL
LL108,233,LL
LL201,21,LL
LL202,86,LL
LL203,85,LL
LL204,27,LL
LL205,117,LL
LL207,7,LL
LL210,89,LL
LL221,72,LL
LL232,196,LL
LL233,45,LL
LL241,14,LL
LL250,29,LL
LL251,30,LL
LL253,29,LL
LL257,25,LL
LL272,27,LL
LL275,192,LL
LL278,69,LL
LL284,29,LL
LL293,13,LL
LL295,28,LL
LL300,44,LL
LL301,27,LL
LL305,205,LL
LL342,26,LL
LL398,4,LL
LL399,34,LL
LN100,4,LN
LN101,11,LN
LN102,3,LN
LN104,23,LN
LN110,7,LN
LN112,6,LN
LN115,26,LN
LN120,24,LN
LN121,23,LN
LN122,11,LN
LN130,29,LN
LN131,20,LN
LN132,18,LN
LN140,15,LN
LN142,17,LN
LN200,2,LN
LN210,7,LN
LN220,11,LN
LN230,12,LN
LN240,6,LN
LN241,16,LN
LN250,29,LN
LN251,24,LN
LN252,16,LN
LN253,22,LN
LN254,21,LN
LN270,17,LN
LN303,1,LN
LN320,7,LN
LN330,9,LN
LN340,5,LN
LN342,1,LN
MA100,533,MA
MA102,51,MA
MA103,163,MA
MA107,721,MA
MA203,162,MA
MA207,93,MA
MA208,47,MA
MA209,111,MA
MA210,23,MA
MA211,24,MA
MA212,307,MA
MA213,120,MA
MA214,50,MA
MA222,22,MA
MA301,50,MA
MA316,11,MA
MA317,24,MA
MA318,11,MA
MA319,13,MA
MA320,33,MA
MA321,29,MA
MA322,14,MA
MA323,30,MA
MA324,27,MA
MA330,13,MA
MA333,14,MA
MA334,11,MA
MC300,7,MC
MG104,320,MG
MG105,330,MG
MG205,176,MG
MG206,55,MG
MG207,159,MG
MG209,94,MG
MG210,79,MG
MG212,300,MG
MG213,319,MG
MG214,182,MG
MG301,181,MG
MG302,75,MG
MG303,227,MG
MG305,119,MG
MG307,48,MG
MG311,90,MG
MG316,105,MG
MG317,72,MG
MG318,35,MG
MY361,13,MY
PB100,55,PB
PB101,53,PB
PB130,49,PB
PB200,40,PB
PB201,40,PB
PB202,41,PB
PB204,41,PB
PB205,40,PB
PB230,41,PB
PB300,31,PB
PB303,6,PB
PB304,11,PB
PB307,5,PB
PB308,5,PB
PB310,31,PB
PB312,19,PB
PB314,12,PB
PH103,239,PH
PH105,96,PH
PH111,183,PH
PH112,53,PH
PH201,36,PH
PH214,87,PH
PH222,107,PH
PH223,27,PH
PH224,50,PH
PH225,92,PH
PH227,62,PH
PH230,43,PH
PH232,50,PH
PH238,45,PH
PH239,28,PH
PH301,8,PH
PH311,99,PH
PH333,29,PH
PH340,52,PH
PH341,54,PH
PH399,26,PH
SO100,77,SO
SO102,50,SO
SO110,90,SO
SO201,65,SO
SO203,30,SO
SO221,50,SO
SO232,34,SO
SO235,33,SO
SO237,34,SO
SO240,34,SO
SO244,33,SO
SO248,30,SO
SO302,57,SO
SO310,34,SO
SO311,22,SO
SO312,34,SO
SO313,30,SO
SO348,33,SO
SP100,75,SP
SP101,76,SP
SP111,29,SP
SP112,31,SP
SP200,41,SP
SP201,42,SP
SP210,16,SP
SP230,29,SP
SP232,32,SP
SP314,14,SP
