,Enrolment,Department
SP331,16,SP
SP332,13,SP
SP333,14,SP
SP335,15,SP
SP336,16,SP
SP372,15,SP
SP374,15,SP
SP399,66,SP
ST102,426,ST
ST107,546,ST
ST109,265,ST
ST115,59,ST
ST201,36,ST
ST202,164,ST
ST205,105,ST
ST206,62,ST
ST207,55,ST
ST211,81,ST
ST213,29,ST
ST226,107,ST
ST227,115,ST
ST300,89,ST
ST301,93,ST
ST302,122,ST
ST303,61,ST
ST304,49,ST
ST306,61,ST
ST307,18,ST
ST308,64,ST
ST309,72,ST
ST310,72,ST
ST311,35,ST
ST312,13,ST
ST313,13,ST
ST326,53,ST
ST327,61,ST
ST330,67,ST
