,Enrolment,Department
GV302,13,GV
GV306,Unavailable,GV
GV307,Unavailable,GV
GV308,8,GV
GV309,22,GV
GV311,29,GV
GV312,Unavailable,GV
GV313,21,GV
GV314,Unavailable,GV
GV315,15,GV
GV316,14,GV
GV317,5,GV
GV318,17,GV
GV319,Unavailable,GV
GV320,Unavailable,GV
GV325,3,GV
GV335,9,GV
GV342,Unavailable,GV
GV366,16,GV
GV390,31,GV
GV398,Unavailable,GV
GY100,78,GY
GY103,57,GY
GY120,32,GY
GY121,98,GY
GY140,33,GY
GY200,16,GY
GY201,37,GY
GY202,76,GY
GY205,23,GY
GY220,38,GY
GY222,84,GY
GY240,18,GY
GY244,23,GY
GY2A0,31,GY
GY300,41,GY
GY301,32,GY
GY302,25,GY
GY303,Unavailable,GY
GY305,22,GY
GY306,18,GY
GY324,43,GY
GY325,23,GY
GY350,33,GY
HY113,123,HY
HY116,161,HY
HY118,36,HY
HY119,73,HY
HY200,Unavailable,HY
HY206,58,HY
HY221,23,HY
HY226,24,HY
HY232,19,HY
HY235,49,HY
HY238,19,HY
HY239,58,HY
HY240,32,HY
HY241,17,HY
HY242,24,HY
HY243,22,HY
HY245,Unavailable,HY
HY300,82,HY
HY311,20,HY
HY315,Unavailable,HY
HY319,28,HY
HY320,14,HY
HY321,Unavailable,HY
HY322,14,HY
HY323,17,HY
HY324,21,HY
HY325,28,HY
HY326,14,HY
HY327,22,HY
HY328,Unavailable,HY
HY329,Unavailable,HY
HY330,Unavailable,HY
IR100,172,IR
IR200,131,IR
IR202,Unavailable,IR
IR203,112,IR
IR205,Unavailable,IR
IR206,Unavailable,IR
IR305,60,IR
IR312,15,IR
IR313,12,IR
IR314,13,IR
IR315,36,IR
IR317,28,IR
IR318,26,IR
IR319,16,IR
IR320,2,IR
IR321,Unavailable,IR
IR322,18,IR
IR323,14,IR
IR324,10,IR
IR325,11,IR
IR326,Unavailable,IR
IR347,5,IR
IR354,15,IR
IR355,10,IR
IR367,Unavailable,IR
IR368,15,IR
IR369,13,IR
IR373,Unavailable,IR
IR377,Unavailable,IR
IR398,26,IR
LL104,204,LL
LL105,203,LL
LL106,209,LL
LL108,202,LL
LL109,202,LL
LL201,12,LL
LL202,68,LL
LL203,93,LL
LL204,21,LL
LL205,72,LL
LL207,36,LL
LL209,37,LL
LL210,45,LL
LL212,37,LL
LL221,56,LL
LL232,183,LL
LL233,45,LL
LL241,16,LL
LL242,14,LL
LL250,19,LL
LL251,49,LL
LL253,23,LL
LL257,19,LL
LL259,Unavailable,LL
LL272,21,LL
LL275,180,LL
LL278,71,LL
LL284,20,LL
LL293,15,LL
LL295,23,LL
LL300,27,LL
LL301,25,LL
LL305,171,LL
LL398,Unavailable,LL
LL399,Unavailable,LL
LN100,4,LN
LN101,11,LN
LN102,5,LN
LN104,18,LN
LN110,6,LN
LN112,6,LN
LN120,19,LN
LN121,16,LN
LN122,9,LN
LN130,15,LN
LN131,17,LN
LN132,17,LN
LN140,5,LN
LN142,7,LN
LN200,Unavailable,LN
LN210,6,LN
LN220,10,LN
LN230,8,LN
LN240,15,LN
LN250,28,LN
LN251,24,LN
LN252,16,LN
LN253,23,LN
LN254,16,LN
LN270,12,LN
LN320,Unavailable,LN
LN330,4,LN
LN340,10,LN
LSE100,Unavailable,LS
MA100,616,MA
MA103,196,MA
MA107,353,MA
MA110,8,MA
MA203,127,MA
MA207,83,MA
MA208,55,MA
MA209,89,MA
MA210,24,MA
MA211,37,MA
MA212,292,MA
MA231,Unavailable,MA
MA300,31,MA
MA301,68,MA
MA303,10,MA
MA305,6,MA
MA310,13,MA
MA313,22,MA
MA314,32,MA
MA315,13,MA
MA316,15,MA
MA317,7,MA
MA318,10,MA
MA319,13,MA
MA320,19,MA
MA321,Unavailable,MA
MA322,Unavailable,MA
MA323,Unavailable,MA
MA331,Unavailable,MA
MG103,Unavailable,MG
MG104,Unavailable,MG
MG105,Unavailable,MG
MG202,Unavailable,MG
MG203,Unavailable,MG
MG205,168,MG
MG206,57,MG
MG207,164,MG
MG208,43,MG
MG209,57,MG
MG210,Unavailable,MG
MG212,145,MG
MG213,88,MG
MG214,74,MG
MG228,17,MG
MG301,129,MG
MG302,15,MG
MG303,44,MG
MG304,Unavailable,MG
MG305,14,MG
MG307,41,MG
MG308,49,MG
MG309,Unavailable,MG
MG310,24,MG
MG311,37,MG
MG312,29,MG
MG315,57,MG
PH101,138,PH
PH103,147,PH
PH104,55,PH
PH201,36,PH
PH203,30,PH
PH213,Unavailable,PH
PH214,42,PH
PH217,19,PH
PH220,Unavailable,PH
PH221,17,PH
PH222,80,PH
PH225,52,PH
PH227,25,PH
PH228,18,PH
PH230,32,PH
PH232,38,PH
PH301,Unavailable,PH
PH311,92,PH
PH332,17,PH
PH341,Unavailable,PH
PH399,32,PH
PS102,38,PS
PS110,16,PS
SA100,40,SA
SA101,30,SA
SA104,46,SA
SA201,40,SA
SA204,14,SA
SA217,19,SA
SA218,15,SA
SA219,39,SA
SA221,22,SA
SA223,16,SA
SA224,Unavailable,SA
SA302,Unavailable,SA
SA303,Unavailable,SA
SA309,5,SA
SA349,24,SA
SO100,52,SO
SO102,38,SO
SO110,70,SO
SO201,42,SO
SO203,13,SO
SO208,40,SO
SO210,34,SO
SO221,37,SO
SO224,17,SO
SO230,13,SO
SO231,16,SO
SO232,Unavailable,SO
SO233,Unavailable,SO
SO302,34,SO
SO308,13,SO
SO309,16,SO
SO310,16,SO
SO311,10,SO
SO312,11,SO
SO313,Unavailable,SO
ST102,588,ST
ST107,364,ST
ST108,7,ST
ST201,108,ST
ST202,184,ST
ST205,73,ST
ST206,Unavailable,ST
ST211,33,ST
ST213,Unavailable,ST
ST226,122,ST
ST227,118,ST
ST300,45,ST
ST301,63,ST
ST302,80,ST
ST303,42,ST
ST304,84,ST
ST306,69,ST
ST307,23,ST
ST308,51,ST
ST312,17,ST
ST326,Unavailable,ST
ST327,57,ST
ST330,70,ST
