,Enrolment,Department
AC100,389,AC
AC102,123,AC
AC103,93,AC
AC104,84,AC
AC211,175,AC
AC310,129,AC
AC330,170,AC
AC340,27,AC
AN100,101,AN
AN101,75,AN
AN102,59,AN
AN200,71,AN
AN205,Unavailable,AN
AN216,Unavailable,AN
AN221,Unavailable,AN
AN223,Unavailable,AN
AN226,70,AN
AN237,44,AN
AN238,Unavailable,AN
AN240,23,AN
AN243,Unavailable,AN
AN244,Unavailable,AN
AN245,Unavailable,AN
AN247,14,AN
AN250,46,AN
AN251,Unavailable,AN
AN252,24,AN
AN256,54,AN
AN269,Unavailable,AN
AN274,Unavailable,AN
AN275,Unavailable,AN
AN276,Unavailable,AN
AN298,46,AN
AN300,27,AN
AN301,27,AN
AN357,39,AN
AN398,28,AN
EC100,303,EC
EC102,698,EC
EC201,491,EC
EC202,125,EC
EC210,609,EC
EC220,256,EC
EC221,128,EC
EC230,119,EC
EC240,34,EC
EC301,19,EC
EC302,38,EC
EC303,Unavailable,EC
EC307,25,EC
EC309,4,EC
EC310,26,EC
EC311,50,EC
EC313,71,EC
EC315,149,EC
EC317,93,EC
EC319,9,EC
EC321,74,EC
EC325,227,EC
EC331,4,EC
EC333,31,EC
EC340,Unavailable,EC
EH101,197,EH
EH102,36,EH
EH103,Unavailable,EH
EH204,80,EH
EH207,Unavailable,EH
EH211,24,EH
EH225,65,EH
EH237,68,EH
EH238,37,EH
EH240,111,EH
EH304,Unavailable,EH
EH306,15,EH
EH307,15,EH
EH308,18,EH
EH309,Unavailable,EH
EH325,19,EH
EH326,18,EH
EH327,10,EH
EH390,58,EH
FM100,33,FM
FM101,Unavailable,FM
FM200,Unavailable,FM
FM201,Unavailable,FM
FM212,628,FM
FM300,254,FM
FM301,Unavailable,FM
FM302,Unavailable,FM
FM304,Unavailable,FM
FM305,Unavailable,FM
FM320,48,FM
FM321,Unavailable,FM
FM322,Unavailable,FM
GI200,20,GI
GV100,302,GV
GV101,292,GV
GV225,87,GV
GV227,55,GV
GV245,85,GV
GV247,41,GV
GV248,53,GV
GV249,20,GV
GV251,37,GV
GV262,58,GV
GV263,41,GV
GV264,55,GV
