﻿Title:,"Table 1 - HE staff by HE provider and activity standard occupational classification"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Academic year,2019/20 
Search:,


"UKPRN","HE Provider","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Clerical and manual occupations","Total academic staff"
"10007783","The University of Aberdeen","0","1,505","5","0","1,510"
"10007849","Abertay University","0","210","0","0","215"
"10007856","Aberystwyth University","0","700","5","0","710"
"10067853","ACM Guildford Limited*","0","30","0","0","30"
"10000163","AECC University College*","0","50","0","0","50"
"10032036","Amity Global Education*","0","0","0","0","0"
"10000291","Anglia Ruskin University","10","805","15","0","835"
"10005451","Arden University*","0","55","0","0","55"
"10007759","Aston University","0","905","0","0","905"
"10007857","Bangor University","5","980","25","0","1,010"
"10000571","Bath Spa University","0","570","0","0","575"
"10007850","The University of Bath","0","1,510","0","0","1,510"
"10007152","University of Bedfordshire","0","505","0","0","505"
"10005343","Queen's University Belfast","0","2,010","45","0","2,055"
"10037544","BIMM University*","0","435","0","0","435"
"10007760","Birkbeck College","0","1,105","0","0","1,105"
"10007140","Birmingham City University*","5","1,950","30","0","1,985"
"10006840","The University of Birmingham*","15","4,035","100","0","4,145"
"10000712","University College Birmingham","0","290","0","0","295"
"10007832","Birmingham Newman University","0","135","5","0","140"
"10007811","Bishop Grosseteste University","0","110","0","0","115"
"10006841","The University of Bolton*","0","375","35","0","405"
"10000385","The Arts University Bournemouth","0","390","0","0","390"
"10000824","Bournemouth University","0","900","0","0","900"
"10007785","The University of Bradford","0","520","0","0","525"
"10000886","The University of Brighton","0","1,580","0","0","1,580"
"10000936","The University College of Osteopathy*","5","95","0","0","100"
"10007786","The University of Bristol","0","3,385","0","0","3,385"
"10000961","Brunel University London","10","1,210","0","0","1,215"
"10000975","Buckinghamshire New University*","0","390","20","0","410"
"10007787","The University of Buckingham*","10","165","0","0","175"
"10007788","The University of Cambridge","10","6,160","0","0","6,170"
"10003324","The Institute of Cancer Research","0","675","15","0","690"
"10001143","Canterbury Christ Church University","5","735","0","0","740"
"10007814","Cardiff University","40","3,295","15","0","3,350"
"10007854","Cardiff Metropolitan University","0","710","0","0","715"
"10007141","The University of Central Lancashire","0","1,675","25","0","1,695"
"10007848","University of Chester","5","650","0","0","650"
"10007137","The University of Chichester*","0","470","0","0","470"
"10001386","Chicken Shed Theatre Company*","0","0","25","0","25"
"10001478","City, University of London","0","2,365","10","0","2,375"
"10007912","Cliff College*","0","10","0","0","10"
"10001653","Conservatoire for Dance and Drama*","0","200","0","0","200"
"10007761","Courtauld Institute of Art*","0","55","0","0","55"
"10034324","Court Theatre Training Company Ltd*","0","10","0","0","10"
"10001726","Coventry University","5","2,800","10","0","2,810"
"10007822","Cranfield University*","0","665","5","0","675"
"10006427","University for the Creative Arts*","0","315","60","0","380"
"10007842","University of Cumbria","0","460","0","0","465"
"10001883","De Montfort University","0","1,645","0","0","1,650"
"10007851","University of Derby","0","1,430","50","0","1,480"
"10007852","The University of Dundee","0","1,430","5","0","1,435"
"10007143","University of Durham","0","1,780","50","0","1,830"
"10007789","The University of East Anglia","0","2,115","0","0","2,115"
"10007144","The University of East London","0","860","0","0","860"
"10032282","The Queen's Foundation for Ecumenical Theological Education*","0","15","0","0","15"
"10007823","Edge Hill University","0","990","0","0","990"
"10007772","Edinburgh Napier University","5","805","0","0","815"
"10007790","The University of Edinburgh","5","7,465","20","0","7,490"
"10042570","Escape Studios*","0","35","0","0","35"
"10007791","The University of Essex","0","1,440","10","0","1,450"
"10008173","University College of Estate Management*","0","105","0","0","105"
"10007792","The University of Exeter","5","3,140","0","0","3,145"
"10008640","Falmouth University*","0","300","25","0","325"
"10004511","The National Film and Television School*","5","60","0","0","65"
