,Enrolment,Department
AC102,564,AC
AC103,256,AC
AC105,115,AC
AC106,115,AC
AC205,Unavailable,AC
AC206,Unavailable,AC
AC311,118,AC
AC312,122,AC
AC331,126,AC
AC332,83,AC
AC341,76,AC
AC342,95,AC
AN100,110,AN
AN101,73,AN
AN102,49,AN
AN200,77,AN
AN205,Unavailable,AN
AN221,Unavailable,AN
AN223,27,AN
AN226,84,AN
AN237,36,AN
AN243,Unavailable,AN
AN250,Unavailable,AN
AN253,Unavailable,AN
AN256,63,AN
AN269,Unavailable,AN
AN273,Unavailable,AN
AN275,Unavailable,AN
AN276,Unavailable,AN
AN277,14,AN
AN280,29,AN
AN281,Unavailable,AN
AN283,60,AN
AN284,Unavailable,AN
AN285,Unavailable,AN
AN286,Unavailable,AN
AN287,Unavailable,AN
AN288,Unavailable,AN
AN292,16,AN
AN298,51,AN
AN301,43,AN
AN303,36,AN
AN357,51,AN
AN379,Unavailable,AN
AN389,Unavailable,AN
AN390,Unavailable,AN
AN393,9,AN
AN395,Unavailable,AN
AN397,35,AN
AN3A1,Unavailable,AN
DS101A,28,DS
DS101W,8,DS
DS105A,60,DS
DS105W,52,DS
DS202A,56,DS
DS202W,43,DS
DS205,Unavailable,DS
EC1A1,185,EC
EC1A3,751,EC
EC1A5,213,EC
EC1B1,184,EC
EC1B3,710,EC
EC1B5,209,EC
EC1C1,183,EC
EC1P1,181,EC
EC230,44,EC
EC241,55,EC
EC2A0,44,EC
EC2A1,304,EC
EC2A3,426,EC
EC2A5,131,EC
EC2B1,303,EC
EC2B3,359,EC
EC2B5,142,EC
EC2C1,302,EC
EC2C3,400,EC
EC2C4,325,EC
EC302,17,EC
EC307,243,EC
EC310,22,EC
EC311,78,EC
EC313,40,EC
EC317,27,EC
EC319,17,EC
EC321,59,EC
EC325,249,EC
EC328,Unavailable,EC
EC330,35,EC
EC331,7,EC
EC333,22,EC
EC334,23,EC
EC335,27,EC
EC336,7,EC
EC337,8,EC
EC338,55,EC
EC339,65,EC
EH101,131,EH
EH102,66,EH
EH111,41,EH
EH204,69,EH
EH207,48,EH
EH209,5,EH
EH211,Unavailable,EH
EH214,13,EH
EH215,22,EH
EH217,Unavailable,EH
EH218,Unavailable,EH
EH221,Unavailable,EH
EH222,30,EH
EH225,42,EH
EH237,72,EH
EH238,31,EH
EH240,88,EH
EH304,17,EH
EH306,18,EH
EH307,Unavailable,EH
EH308,19,EH
EH312,14,EH
EH314,13,EH
EH316,10,EH
EH317,14,EH
EH326,Unavailable,EH
EH327,15,EH
EH390,75,EH
FM100,66,FM
FM101,499,FM
FM102,65,FM
FM200,71,FM
FM201,71,FM
FM210,Unavailable,FM
FM211,Unavailable,FM
FM214,Unavailable,FM
FM215,Unavailable,FM
FM301,50,FM
FM302,50,FM
FM304,50,FM
FM305,50,FM
FM310,Unavailable,FM
FM311,Unavailable,FM
FM321,157,FM
FM322,132,FM
GV100,316,GV
GV101,295,GV
GV225,34,GV
GV245,83,GV
GV248,103,GV
GV249,126,GV
GV251,42,GV
GV252,26,GV
GV262,103,GV
GV263,73,GV
GV264,53,GV
GV267,41,GV
GV302,17,GV
GV307,32,GV
GV309,16,GV
GV311,31,GV
GV313,12,GV
GV314,7,GV
GV315,24,GV
GV316,29,GV
GV318,31,GV
GV319,4,GV
GV320,16,GV
GV321,24,GV
GV324,14,GV
GV325,9,GV
GV326,17,GV
GV327,Unavailable,GV
GV328,17,GV
GV329,17,GV
GV330,16,GV
GV332,15,GV
GV333,Unavailable,GV
GV334,14,GV
GV335,14,GV
GV336,16,GV
GV337,15,GV
GV338,16,GV
GV343,53,GV
GV344,53,GV
GV362,Unavailable,GV
GV366,16,GV
GV390,26,GV
GV398,Unavailable,GV
GV3L1,1,GV
GV3L2,17,GV
GV3L6,Unavailable,GV
GY100,95,GY
GY101,71,GY
GY103,73,GY
GY120,40,GY
GY121,79,GY
GY140,46,GY
GY144,48,GY
GY202,92,GY
GY204,32,GY
GY206,66,GY
GY207,66,GY
GY209,72,GY
GY210,83,GY
GY212,47,GY
GY220,36,GY
GY222,78,GY
GY245,67,GY
GY246,39,GY
GY247,23,GY
GY248,9,GY
GY307,62,GY
GY308,Unavailable,GY
GY309,Unavailable,GY
GY310,57,GY
GY311,40,GY
GY313,45,GY
GY314,46,GY
GY315,36,GY
GY316,39,GY
GY317,34,GY
GY326,84,GY
GY327,38,GY
GY328,47,GY
GY329,47,GY
GY331,34,GY
GY350,46,GY
HY113,147,HY
HY116,123,HY
HY118,44,HY
HY120,93,HY
HY200,28,HY
HY206,67,HY
HY221,29,HY
HY226,15,HY
HY235,42,HY
HY239,48,HY
HY240,30,HY
HY241,7,HY
HY242,30,HY
HY243,Unavailable,HY
HY245,60,HY
HY246,24,HY
HY247,Unavailable,HY
HY248,Unavailable,HY
HY249,Unavailable,HY
HY300,46,HY
HY311,7,HY
HY315,7,HY
HY319,28,HY
HY320,10,HY
HY322,14,HY
HY323,Unavailable,HY
HY327,8,HY
HY328,15,HY
HY330,19,HY
HY331,12,HY
HY332,15,HY
HY333,12,HY
HY334,14,HY
HY335,15,HY
HY336,Unavailable,HY
HY344,Unavailable,HY
IR100,118,IR
IR101,68,IR
IR102,54,IR
IR200,30,IR
IR202,136,IR
IR203,62,IR
IR205,130,IR
IR206,126,IR
IR305,Unavailable,IR
IR312,29,IR
IR314,Unavailable,IR
IR315,43,IR
IR317,28,IR
IR318,14,IR
IR319,Unavailable,IR
IR322,Unavailable,IR
IR323,27,IR
IR324,Unavailable,IR
IR326,Unavailable,IR
IR327,22,IR
IR345,14,IR
IR349,53,IR
IR354,13,IR
IR355,26,IR
IR367,30,IR
IR368,24,IR
IR369,27,IR
IR372,Unavailable,IR
IR373,20,IR
IR374,Unavailable,IR
IR377,13,IR
IR378,Unavailable,IR
IR379,15,IR
IR380,19,IR
IR391,13,IR
IR392,Unavailable,IR
IR395,15,IR
IR398,34,IR
LL100,179,LL
LL106,176,LL
LL108,207,LL
LL141,177,LL
LL142,182,LL
LL143,166,LL
LL150,Unavailable,LL
LL200,Unavailable,LL
LL201,18,LL
LL203,88,LL
LL204,21,LL
LL205,94,LL
LL208,24,LL
LL210,58,LL
LL211,21,LL
LL212,24,LL
LL213,Unavailable,LL
LL216,Unavailable,LL
LL217,Unavailable,LL
LL220,Unavailable,LL
LL221,73,LL
LL224,Unavailable,LL
LL225,Unavailable,LL
LL228,Unavailable,LL
LL229,Unavailable,LL
LL232,186,LL
LL233,31,LL
LL241,10,LL
LL243,Unavailable,LL
LL244,Unavailable,LL
LL245,Unavailable,LL
LL250,23,LL
LL251,40,LL
LL253,24,LL
LL257,24,LL
LL272,21,LL
LL275,208,LL
LL276,Unavailable,LL
LL279,Unavailable,LL
LL280,Unavailable,LL
LL284,18,LL
LL293,28,LL
LL295,25,LL
LL300,43,LL
LL302,4,LL
LL303,9,LL
LL304,Unavailable,LL
LL305,175,LL
LL306,Unavailable,LL
LL307,Unavailable,LL
LL332,Unavailable,LL
LL342,11,LL
LL398,3,LL
LL399,27,LL
LN100,3,LN
LN101,14,LN
LN102,10,LN
LN104,21,LN
LN110,6,LN
LN112,6,LN
LN115,26,LN
LN120,24,LN
LN121,18,LN
LN122,11,LN
LN130,13,LN
LN131,17,LN
LN132,24,LN
LN140,16,LN
LN142,9,LN
LN200,4,LN
LN210,6,LN
LN220,11,LN
LN230,20,LN
LN240,11,LN
LN241,14,LN
LN250,32,LN
LN251,25,LN
LN252,18,LN
LN253,23,LN
LN254,27,LN
LN270,22,LN
LN303,2,LN
LN320,4,LN
LN330,6,LN
LN340,Unavailable,LN
LN341,13,LN
LN342,13,LN
LN370,Unavailable,LN
MA100,444,MA
MA102,63,MA
MA103,168,MA
MA107,462,MA
MA108,212,MA
MA203,165,MA
MA207,92,MA
MA208,62,MA
MA209,115,MA
MA210,11,MA
MA211,11,MA
MA212,274,MA
MA213,218,MA
MA214,60,MA
MA221,Unavailable,MA
MA222,22,MA
MA301,83,MA
MA315,Unavailable,MA
MA316,9,MA
MA317,16,MA
MA318,13,MA
MA319,16,MA
MA320,8,MA
MA321,21,MA
MA322,17,MA
MA323,28,MA
MA324,42,MA
MA330,20,MA
MA333,7,MA
MA334,10,MA
MC300,Unavailable,MC
MG104,215,MG
MG105,225,MG
MG205,198,MG
MG206,33,MG
MG207,177,MG
MG209,70,MG
MG210,46,MG
MG212,265,MG
MG213,230,MG
MG214,172,MG
MG228,Unavailable,MG
MG301,142,MG
MG302,65,MG
MG303,155,MG
MG305,94,MG
MG307,36,MG
MG308,50,MG
MG310,Unavailable,MG
MG311,72,MG
MG312,32,MG
MG316,103,MG
MG317,65,MG
MG318,32,MG
MY360,12,MY
MY361,11,MY
PB100,59,PB
PB101,57,PB
PB102,Unavailable,PB
PB130,53,PB
PB200,48,PB
PB201,48,PB
PB202,48,PB
PB204,49,PB
PB205,48,PB
PB230,48,PB
PB300,38,PB
PB301,Unavailable,PB
PB302,Unavailable,PB
PB303,16,PB
PB304,9,PB
PB307,10,PB
PB308,10,PB
PB310,38,PB
PB312,13,PB
PB314,12,PB
PH103,183,PH
PH105,95,PH
PH111,233,PH
PH112,38,PH
PH201,42,PH
PH214,116,PH
PH222,105,PH
PH223,31,PH
PH224,52,PH
PH225,133,PH
PH226,47,PH
PH227,24,PH
PH230,46,PH
PH232,48,PH
PH236,10,PH
PH237,18,PH
PH238,Unavailable,PH
PH239,55,PH
PH240,80,PH
PH241,Unavailable,PH
PH311,124,PH
PH333,38,PH
PH341,53,PH
PH344,Unavailable,PH
PH399,33,PH
SO100,63,SO
SO102,36,SO
SO110,82,SO
SO201,68,SO
SO203,18,SO
SO221,50,SO
SO232,30,SO
SO235,34,SO
SO236,34,SO
SO237,28,SO
SO240,30,SO
SO243,Unavailable,SO
SO244,33,SO
SO248,27,SO
SO302,50,SO
SO309,32,SO
SO310,34,SO
SO311,14,SO
SO312,34,SO
SO313,27,SO
SO314,33,SO
SO348,30,SO
SP100,56,SP
SP101,56,SP
SP111,47,SP
SP112,46,SP
SP200,75,SP
SP201,74,SP
SP210,24,SP
SP230,36,SP
SP231,35,SP
SP232,Unavailable,SP
SP314,Unavailable,SP
SP315,11,SP
SP331,16,SP
SP332,13,SP
SP333,18,SP
SP335,16,SP
SP336,17,SP
SP372,16,SP
SP374,Unavailable,SP
SP399,44,SP
ST101,Unavailable,ST
ST101A,101,ST
ST101W,33,ST
ST102,405,ST
ST107,494,ST
ST109,187,ST
ST110,2,ST
ST111,Unavailable,ST
ST115,77,ST
ST201,23,ST
ST202,186,ST
ST205,58,ST
ST206,61,ST
ST207,71,ST
ST211,90,ST
ST213,46,ST
ST226,101,ST
ST227,111,ST
ST300,85,ST
ST301,73,ST
ST302,133,ST
ST303,67,ST
ST304,52,ST
ST306,47,ST
ST307,19,ST
ST308,63,ST
ST309,65,ST
ST310,90,ST
ST311,40,ST
ST312,17,ST
ST313,37,ST
ST314,23,ST
ST326,65,ST
ST327,58,ST
ST330,61,ST
ST360,Unavailable,ST
