,Enrolment,Department
AC100,432,AC
AC102,195,AC
AC103,53,AC
AC211,146,AC
AC310,108,AC
AC330,159,AC
AC340,24,AC
AN100,79,AN
AN101,59,AN
AN102,50,AN
AN200,67,AN
AN205,10,AN
AN216,36,AN
AN226,75,AN
AN237,33,AN
AN245,29,AN
AN251,29,AN
AN252,14,AN
AN256,60,AN
AN269,22,AN
AN275,18,AN
AN276,25,AN
AN298,55,AN
AN300,47,AN
AN301,46,AN
AN357,51,AN
AN398,46,AN
EC100,313,EC
EC102,754,EC
EC201,592,EC
EC202,123,EC
EC210,582,EC
EC220,331,EC
EC221,124,EC
EC230,89,EC
EC240,38,EC
EC301,31,EC
EC302,64,EC
EC307,57,EC
EC309,13,EC
EC310,20,EC
EC311,60,EC
EC313,37,EC
EC315,132,EC
EC317,96,EC
EC319,19,EC
EC321,72,EC
EC325,221,EC
EC331,10,EC
EC333,29,EC
EC340,32,EC
EH101,213,EH
EH102,45,EH
EH103,53,EH
EH204,59,EH
EH207,93,EH
EH225,53,EH
EH237,71,EH
EH238,24,EH
EH240,87,EH
EH304,31,EH
EH306,17,EH
EH308,21,EH
EH326,21,EH
EH390,63,EH
FM100,37,FM
FM101,162,FM
FM200,32,FM
FM201,32,FM
FM212,597,FM
FM300,257,FM
FM320,52,FM
GV100,292,GV
GV101,289,GV
GV225,77,GV
GV227,60,GV
GV245,77,GV
GV248,70,GV
GV249,45,GV
GV251,41,GV
GV262,85,GV
GV263,30,GV
GV264,104,GV
GV302,21,GV
GV306,7,GV
GV309,29,GV
GV311,31,GV
GV313,18,GV
GV314,7,GV
GV315,20,GV
GV316,11,GV
GV317,17,GV
GV318,24,GV
GV319,3,GV
GV320,10,GV
GV335,13,GV
GV366,13,GV
GV390,36,GV
GV398,7,GV
GY100,76,GY
GY103,67,GY
GY120,25,GY
GY121,74,GY
GY140,32,GY
GY202,78,GY
GY205,17,GY
GY220,43,GY
GY222,82,GY
GY244,19,GY
GY350,29,GY
HY113,116,HY
HY116,177,HY
HY118,38,HY
HY119,86,HY
HY200,27,HY
HY206,59,HY
HY221,24,HY
HY226,28,HY
HY232,19,HY
HY235,43,HY
HY238,22,HY
HY240,30,HY
HY241,22,HY
HY242,27,HY
HY243,17,HY
HY245,44,HY
HY300,66,HY
HY315,12,HY
HY319,15,HY
HY320,23,HY
HY321,10,HY
HY322,14,HY
HY324,16,HY
HY327,24,HY
HY328,12,HY
HY329,10,HY
HY330,10,HY
IR100,181,IR
IR200,131,IR
IR202,139,IR
IR203,119,IR
IR205,61,IR
IR206,52,IR
IR305,65,IR
IR313,12,IR
IR314,12,IR
IR315,20,IR
IR317,25,IR
IR318,15,IR
IR319,16,IR
IR321,16,IR
IR322,14,IR
IR323,14,IR
IR324,9,IR
IR325,9,IR
IR326,14,IR
IR354,9,IR
IR355,12,IR
IR367,11,IR
IR368,6,IR
IR369,5,IR
IR373,12,IR
IR377,11,IR
IR398,28,IR
LL104,186,LL
LL105,181,LL
LL106,188,LL
LL108,188,LL
LL109,184,LL
LL201,17,LL
LL202,64,LL
LL203,48,LL
LL204,17,LL
LL205,105,LL
LL207,27,LL
LL210,76,LL
LL212,22,LL
LL221,12,LL
LL232,197,LL
LL233,75,LL
LL241,10,LL
LL242,19,LL
LL250,16,LL
LL251,15,LL
LL253,24,LL
LL257,15,LL
LL259,27,LL
LL272,24,LL
LL275,190,LL
LL278,102,LL
LL284,22,LL
LL293,14,LL
LL295,29,LL
LL300,32,LL
LL301,28,LL
LL305,190,LL
LL398,1,LL
LL399,36,LL
LN100,6,LN
LN101,5,LN
LN102,4,LN
LN104,7,LN
LN110,7,LN
LN112,8,LN
LN120,16,LN
LN121,16,LN
LN122,6,LN
LN130,22,LN
LN131,18,LN
LN132,18,LN
LN140,7,LN
LN142,8,LN
LN200,4,LN
LN210,5,LN
LN220,8,LN
LN230,6,LN
LN240,8,LN
LN250,32,LN
LN251,21,LN
LN252,16,LN
LN253,25,LN
LN254,19,LN
LN270,10,LN
LN330,3,LN
LN340,5,LN
MA100,644,MA
MA103,214,MA
MA107,391,MA
MA110,13,MA
MA203,134,MA
MA207,68,MA
MA208,70,MA
MA209,80,MA
MA210,31,MA
MA211,24,MA
MA212,254,MA
MA231,87,MA
MA300,28,MA
MA301,89,MA
MA303,15,MA
MA310,11,MA
MA313,18,MA
MA314,43,MA
MA315,12,MA
MA316,11,MA
MA317,21,MA
MA318,17,MA
MA319,12,MA
MA320,19,MA
MG104,212,MG
MG105,206,MG
MG205,171,MG
MG206,55,MG
MG207,148,MG
MG208,26,MG
MG209,80,MG
MG212,143,MG
MG213,112,MG
MG214,40,MG
MG228,15,MG
MG301,144,MG
MG302,22,MG
MG303,48,MG
MG305,33,MG
MG307,40,MG
MG308,60,MG
MG310,40,MG
MG312,32,MG
MG315,25,MG
PH101,165,PH
PH103,157,PH
PH104,68,PH
PH201,25,PH
PH203,21,PH
PH214,52,PH
PH217,17,PH
PH221,30,PH
PH222,90,PH
PH225,47,PH
PH227,32,PH
PH228,28,PH
PH230,41,PH
PH232,32,PH
PH311,71,PH
PH332,14,PH
PH399,26,PH
SA100,40,SA
SA101,25,SA
SA104,44,SA
SA201,37,SA
SA204,14,SA
SA217,30,SA
SA219,39,SA
SA221,38,SA
SA223,33,SA
SA303,9,SA
SA309,15,SA
SA349,36,SA
SO100,66,SO
