,Enrolment,Department
SO102,50,SO
SO110,89,SO
SO201,37,SO
SO203,21,SO
SO208,49,SO
SO210,41,SO
SO221,34,SO
SO224,25,SO
SO231,22,SO
SO232,13,SO
SO233,15,SO
SO302,36,SO
SO308,18,SO
SO311,17,SO
SO312,26,SO
SO313,25,SO
ST102,602,ST
ST107,409,ST
ST108,10,ST
ST201,150,ST
ST202,179,ST
ST205,114,ST
ST206,4,ST
ST211,30,ST
ST226,142,ST
ST227,124,ST
ST300,65,ST
ST301,92,ST
ST302,120,ST
ST303,59,ST
ST304,123,ST
ST306,91,ST
ST307,21,ST
ST308,60,ST
ST312,19,ST
ST327,59,ST
ST330,97,ST
