﻿Title:,"Table 1 - HE staff by HE provider and activity standard occupational classification"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Academic year,2017/18 
Search:,


"UKPRN","HE Provider","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Clerical and manual occupations","Total academic staff"
"10007783","The University of Aberdeen","0","1,405","5","0","1,410"
"10007849","Abertay University","0","215","5","0","220"
"10007856","Aberystwyth University","0","760","5","0","770"
"10000163","AECC University College","0","45","0","0","50"
"10000291","Anglia Ruskin University","10","850","20","0","885"
"10007759","Aston University","0","785","5","0","785"
"10007857","Bangor University","5","945","25","0","975"
"10000571","Bath Spa University","5","650","0","0","655"
"10007850","The University of Bath","0","1,430","0","0","1,435"
"10007152","University of Bedfordshire","0","560","5","0","565"
"10005343","Queen's University Belfast","0","1,770","25","0","1,795"
"10007760","Birkbeck College","0","965","0","0","965"
"10007140","Birmingham City University","5","1,905","30","0","1,940"
"10006840","The University of Birmingham","15","3,830","35","0","3,880"
"10000712","University College Birmingham","5","275","0","0","280"
"10007832","Birmingham Newman University","0","160","5","0","165"
"10007811","Bishop Grosseteste University","0","105","0","0","105"
"10006841","The University of Bolton","0","315","30","0","345"
"10000385","The Arts University Bournemouth","0","380","0","0","380"
"10000824","Bournemouth University","0","970","0","0","970"
"10007785","The University of Bradford","0","575","0","0","575"
"10000886","The University of Brighton","0","1,665","5","0","1,670"
"10000936","The University College of Osteopathy","0","100","0","0","100"
"10007786","The University of Bristol","0","3,120","0","0","3,120"
"10000961","Brunel University London","5","1,080","0","0","1,090"
"10000975","Buckinghamshire New University","0","395","15","0","410"
"10007787","The University of Buckingham","10","145","0","0","155"
"10007788","The University of Cambridge","10","6,100","0","0","6,110"
"10003324","The Institute of Cancer Research","0","675","5","0","675"
"10001143","Canterbury Christ Church University","5","795","0","0","800"
"10007814","Cardiff University","55","3,455","10","0","3,520"
"10007854","Cardiff Metropolitan University","0","695","5","0","695"
"10007141","The University of Central Lancashire","0","1,435","70","0","1,505"
"10007848","University of Chester","0","615","0","0","620"
"10007137","The University of Chichester","0","565","0","0","565"
"10001478","City, University of London","0","2,100","5","0","2,100"
"10001653","Conservatoire for Dance and Drama","0","285","0","0","285"
"10007761","Courtauld Institute of Art","0","40","0","0","40"
"10001726","Coventry University","5","2,515","10","0","2,530"
"10007822","Cranfield University","0","705","10","0","710"
"10006427","University for the Creative Arts","0","300","75","0","375"
"10007842","University of Cumbria","0","465","0","0","465"
"10001883","De Montfort University","0","1,480","0","0","1,480"
"10007851","University of Derby","0","1,360","50","0","1,405"
"10007852","The University of Dundee","0","1,405","5","0","1,410"
"10007143","University of Durham","0","1,650","0","0","1,650"
"10007789","The University of East Anglia","0","2,035","0","0","2,035"
"10007144","The University of East London","0","855","0","0","860"
"10007823","Edge Hill University","0","1,030","0","0","1,030"
"10007772","Edinburgh Napier University","10","880","5","0","895"
"10007790","The University of Edinburgh","0","6,940","55","0","7,000"
"10007791","The University of Essex","0","1,300","10","0","1,310"
"10007792","The University of Exeter","0","2,255","5","0","2,260"
"10008640","Falmouth University","0","275","25","0","295"
"10004511","The National Film and Television School","0","25","0","0","25"
"10007762","Glasgow Caledonian University","0","780","0","0","780"
"10002681","Glasgow School of Art","0","150","85","0","235"
"10007794","The University of Glasgow","5","3,900","65","0","3,970"
"10007145","University of Gloucestershire","0","625","5","0","630"
"10002718","Goldsmiths College","0","1,110","0","0","1,110"
"10007146","The University of Greenwich","5","1,260","5","0","1,270"
"10007825","Guildhall School of Music and Drama","5","675","10","0","695"
"10040812","Harper Adams University","0","175","0","0","180"
"10007764","Heriot-Watt University","0","830","15","0","840"
"10007147","University of Hertfordshire","0","1,925","0","0","1,925"
"10007765","Heythrop College","0","45","0","0","45"
"10007148","The University of Huddersfield","0","920","0","0","920"
"10007149","The University of Hull","5","995","25","0","1,025"
"10003270","Imperial College of Science, Technology and Medicine","5","4,270","5","0","4,275"
"10007767","Keele University","0","825","0","0","830"
"10007150","The University of Kent","0","1,470","0","0","1,470"
"10003645","King's College London","0","4,945","20","0","4,970"
"10003678","Kingston University","10","975","30","0","1,015"
"10007768","The University of Lancaster","5","2,100","0","0","2,105"
"10003854","Leeds Arts University","0","155","5","0","160"
"10003861","Leeds Beckett University","5","1,370","0","0","1,375"
"10007795","The University of Leeds","5","3,485","10","0","3,500"
"10003863","Leeds Trinity University","0","170","0","0","175"
"10007796","The University of Leicester","5","1,670","5","0","1,675"
"10007151","The University of Lincoln","0","1,260","0","0","1,260"
"10003956","Liverpool Hope University","0","320","0","0","320"
"10003957","Liverpool John Moores University","0","1,485","55","0","1,545"
"10003945","The Liverpool Institute for Performing Arts","0","80","0","0","80"
"10006842","The University of Liverpool","5","2,925","5","0","2,935"
"10003958","Liverpool School of Tropical Medicine","0","210","0","0","215"
"10007162","University of the Arts, London","0","2,230","0","0","2,230"
"10007769","London Business School","5","105","5","0","115"
"10007797","University of London (Institutes and activities)","0","95","0","0","95"
"10004048","London Metropolitan University","0","435","0","0","435"
"10004078","London South Bank University","5","1,060","50","0","1,115"
"10004063","London School of Economics and Political Science","0","1,720","0","0","1,725"
"10007771","London School of Hygiene and Tropical Medicine","0","755","0","0","755"
"10004113","Loughborough University","0","1,560","45","0","1,610"
"10004180","The Manchester Metropolitan University","0","2,480","80","0","2,560"
"10007798","The University of Manchester","5","5,115","0","0","5,120"
"10004351","Middlesex University","10","1,040","5","0","1,055"
"10007799","Newcastle University","25","2,915","40","0","2,980"
"10007138","The University of Northampton","10","815","0","0","825"
"10001282","University of Northumbria at Newcastle","0","1,420","0","0","1,420"
"10004775","Norwich University of the Arts","0","205","0","0","205"
"10007154","University of Nottingham","0","3,385","10","0","3,395"
"10004797","The Nottingham Trent University","5","2,040","0","0","2,045"
"10007773","The Open University","5","5,000","0","0","5,005"
"10004930","Oxford Brookes University","5","1,380","25","0","1,415"
"10007774","The University of Oxford","0","6,615","15","0","6,630"
"10005127","Arts University Plymouth","0","130","0","0","135"
"10007801","University of Plymouth","15","1,250","35","0","1,300"
"10007155","The University of Portsmouth","0","1,675","10","0","1,690"
"10005337","Queen Margaret University, Edinburgh","0","260","0","0","260"
