﻿Title:,"Table 1 - HE staff by HE provider and activity standard occupational classification"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Academic year,2016/17 
Search:,


"UKPRN","HE Provider","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Clerical and manual occupations","Total academic staff"
"10007783","The University of Aberdeen","0","1,450","5","0","1,460"
"10007849","Abertay University","0","215","5","0","220"
"10007856","Aberystwyth University","0","785","10","0","795"
"10000291","Anglia Ruskin University","10","845","15","0","875"
"10007759","Aston University","0","725","0","0","730"
"10007857","Bangor University","5","975","20","0","1,000"
"10000571","Bath Spa University","5","595","0","0","605"
"10007850","The University of Bath","0","1,370","0","0","1,370"
"10007152","University of Bedfordshire","0","575","15","0","590"
"10005343","Queen's University Belfast","0","1,650","15","0","1,665"
"10007760","Birkbeck College","0","1,125","0","0","1,125"
"10007140","Birmingham City University","5","1,835","30","0","1,875"
"10006840","The University of Birmingham","10","3,580","35","0","3,625"
"10000712","University College Birmingham","0","300","0","0","300"
"10007832","Birmingham Newman University","0","160","5","0","165"
"10007811","Bishop Grosseteste University","5","95","0","0","95"
"10006841","The University of Bolton","0","320","30","0","345"
"10000385","The Arts University Bournemouth","0","360","0","0","365"
"10000824","Bournemouth University","0","960","0","0","960"
"10007785","The University of Bradford","0","590","0","0","590"
"10000886","The University of Brighton","0","1,735","5","0","1,740"
"10000936","The University College of Osteopathy","0","100","0","0","100"
"10007786","The University of Bristol","0","3,175","5","0","3,175"
"10000961","Brunel University London","10","1,130","0","0","1,135"
"10000975","Buckinghamshire New University","5","440","15","0","460"
"10007787","The University of Buckingham","10","155","0","0","165"
"10007788","The University of Cambridge","10","5,955","0","0","5,965"
"10003324","The Institute of Cancer Research","0","660","5","0","665"
"10001143","Canterbury Christ Church University","5","765","35","0","800"
"10007814","Cardiff University","65","3,390","10","0","3,465"
"10007854","Cardiff Metropolitan University","0","740","0","0","740"
"10007141","The University of Central Lancashire","0","1,340","65","0","1,405"
"10007848","University of Chester","5","625","0","0","630"
"10007137","The University of Chichester","0","560","0","0","560"
"10001478","City, University of London","0","2,100","5","0","2,105"
"10001653","Conservatoire for Dance and Drama","0","270","0","0","270"
"10007761","Courtauld Institute of Art","0","40","0","0","40"
"10001726","Coventry University","10","2,370","25","0","2,400"
"10007822","Cranfield University","0","675","5","0","680"
"10006427","University for the Creative Arts","0","305","75","0","380"
"10007842","University of Cumbria","0","515","5","0","515"
"10001883","De Montfort University","0","1,395","0","0","1,395"
"10007851","University of Derby","0","1,280","30","0","1,310"
"10007852","The University of Dundee","0","1,425","0","0","1,425"
"10007143","University of Durham","0","1,700","0","0","1,700"
"10007789","The University of East Anglia","0","1,800","0","0","1,800"
"10007144","The University of East London","0","920","0","0","920"
"10007823","Edge Hill University","0","1,015","0","0","1,020"
"10007772","Edinburgh Napier University","5","905","5","0","915"
"10007790","The University of Edinburgh","5","4,575","70","0","4,650"
"10007791","The University of Essex","0","1,195","0","0","1,195"
"10007792","The University of Exeter","0","2,050","5","0","2,055"
"10008640","Falmouth University","0","275","25","0","300"
"10004511","The National Film and Television School","0","20","0","0","20"
"10007762","Glasgow Caledonian University","0","790","0","0","790"
"10002681","Glasgow School of Art","0","150","70","0","215"
"10007794","The University of Glasgow","5","3,825","10","0","3,840"
"10007145","University of Gloucestershire","0","650","5","0","655"
"10002718","Goldsmiths College","0","1,025","5","0","1,030"
"10007146","The University of Greenwich","10","1,200","5","0","1,215"
"10007825","Guildhall School of Music and Drama","15","650","15","0","680"
"10040812","Harper Adams University","0","160","0","0","160"
"10007764","Heriot-Watt University","0","840","0","0","840"
"10007147","University of Hertfordshire","5","1,715","0","0","1,720"
"10007765","Heythrop College","0","55","0","0","60"
"10007148","The University of Huddersfield","0","895","0","0","895"
"10007149","The University of Hull","5","1,030","0","0","1,035"
"10003270","Imperial College of Science, Technology and Medicine","5","4,320","5","0","4,330"
"10007767","Keele University","0","810","0","0","810"
"10007150","The University of Kent","0","1,425","0","0","1,425"
"10003645","King's College London","0","4,815","25","0","4,840"
"10003678","Kingston University","15","1,065","35","0","1,110"
"10007768","The University of Lancaster","5","1,925","5","0","1,930"
"10003854","Leeds Arts University","0","160","5","0","165"
"10003861","Leeds Beckett University","5","1,435","0","0","1,435"
"10007795","The University of Leeds","5","3,475","10","0","3,485"
"10003863","Leeds Trinity University","0","180","0","0","180"
"10007796","The University of Leicester","5","1,635","5","0","1,645"
"10007151","The University of Lincoln","0","1,205","0","0","1,205"
"10003956","Liverpool Hope University","0","295","0","0","295"
"10003957","Liverpool John Moores University","5","1,380","55","0","1,435"
"10003945","The Liverpool Institute for Performing Arts","0","75","0","0","75"
"10006842","The University of Liverpool","5","2,830","5","0","2,835"
"10003958","Liverpool School of Tropical Medicine","0","195","5","0","200"
"10007162","University of the Arts, London","0","3,275","0","0","3,275"
"10007769","London Business School","5","105","0","0","110"
"10007797","University of London (Institutes and activities)","0","95","0","0","95"
"10004048","London Metropolitan University","0","430","5","0","435"
"10004078","London South Bank University","5","1,040","65","0","1,110"
"10004063","London School of Economics and Political Science","0","1,705","0","0","1,705"
"10007771","London School of Hygiene and Tropical Medicine","0","840","0","0","840"
"10004113","Loughborough University","0","1,490","45","0","1,535"
"10004180","The Manchester Metropolitan University","5","2,450","105","0","2,555"
"10007798","The University of Manchester","10","5,190","0","0","5,195"
"10004351","Middlesex University","15","1,020","5","0","1,040"
"10007799","Newcastle University","20","2,835","55","0","2,910"
"10007138","The University of Northampton","5","750","0","0","755"
"10001282","University of Northumbria at Newcastle","0","1,385","0","0","1,385"
"10004775","Norwich University of the Arts","0","200","0","0","200"
"10007154","University of Nottingham","0","3,415","5","0","3,420"
"10004797","The Nottingham Trent University","0","1,870","0","0","1,875"
"10007773","The Open University","5","5,250","0","0","5,255"
"10004930","Oxford Brookes University","5","1,285","30","0","1,320"
"10007774","The University of Oxford","0","6,765","5","0","6,770"
"10005127","Arts University Plymouth","5","135","0","0","135"
"10007801","University of Plymouth","15","1,280","50","0","1,345"
"10007155","The University of Portsmouth","0","1,645","15","0","1,660"
"10005337","Queen Margaret University, Edinburgh","0","250","0","0","250"
"10007775","Queen Mary University of London","5","2,350","35","0","2,385"
"10005389","Ravensbourne University London","5","215","0","0","215"
"10007802","The University of Reading","20","1,680","5","0","1,700"
"10005500","Robert Gordon University","0","680","0","0","680"
"10007776","Roehampton University","0","530","15","0","545"
"10005523","Rose Bruford College of Theatre and Performance","5","70","0","0","75"
"10007835","Royal Academy of Music","0","295","0","0","295"
"10005545","Royal Agricultural University","0","65","5","0","65"
"10007777","Royal College of Art","0","170","0","0","170"
"10007778","Royal College of Music","0","285","0","0","290"
"10005561","Royal Conservatoire of Scotland","0","375","0","0","375"
"10007816","The Royal Central School of Speech and Drama","0","75","0","0","75"
"10005553","Royal Holloway and Bedford New College","0","1,225","0","0","1,230"
"10007837","Royal Northern College of Music","0","330","0","0","330"
"10007779","The Royal Veterinary College","0","290","0","0","295"
"10007803","The University of St. Andrews","0","1,165","0","0","1,165"
"10007782","St George's, University of London","10","440","5","0","450"
"10008026","St Mary's University College","0","60","0","0","60"
"10007843","St Mary's University, Twickenham","5","390","75","0","470"
"10007156","The University of Salford","5","990","0","0","995"
"10007780","SOAS University of London","5","785","0","0","790"
"10005700","SRUC","20","280","15","0","315"
"10005790","Sheffield Hallam University","0","2,005","0","0","2,005"
"10007157","The University of Sheffield","0","3,270","0","0","3,270"
"10006022","Solent University","0","730","20","0","745"
"10007158","The University of Southampton","5","3,015","15","0","3,030"
"10006299","Staffordshire University","0","860","35","0","895"
"10007804","The University of Stirling","5","900","10","0","915"
"10037449","University of St Mark and St John","0","100","0","0","100"
"10008010","Stranmillis University College","0","50","0","0","55"
"10007805","The University of Strathclyde","0","1,580","0","0","1,580"
