﻿Title:,"Table 1 - HE staff by HE provider and activity standard occupational classification"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Academic year,2022/23 
Search:,


"UKPRN","HE Provider","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Clerical and manual occupations","Total academic staff"
"10007783","The University of Aberdeen","0","1,655","0","0","1,655"
"10007849","Abertay University","0","215","0","0","215"
"10007856","Aberystwyth University","0","720","10","0","735"
"10067853","ACM Guildford Limited*","0","125","0","0","125"
"10000163","AECC University College*","0","80","0","0","80"
"10032036","Amity Global Education*","0","0","0","0","0"
"10000291","Anglia Ruskin University","10","1,070","25","0","1,105"
"10005451","Arden University*","0","470","0","0","470"
"10007759","Aston University","0","960","0","0","960"
"10038772","British Academy of Jewellery Limited*","0","20","0","0","20"
"10007857","Bangor University","5","1,060","30","0","1,095"
"10000571","Bath Spa University","0","635","25","0","660"
"10007850","The University of Bath","0","1,570","0","0","1,570"
"10007152","University of Bedfordshire","0","535","5","0","540"
"10005343","Queen's University Belfast","0","2,010","20","0","2,030"
"10037544","BIMM University*","0","205","0","0","205"
"10007760","Birkbeck College","0","960","0","0","960"
"10007140","Birmingham City University*","5","2,000","20","0","2,025"
"10006840","The University of Birmingham*","15","4,055","190","0","4,260"
"10000712","University College Birmingham","15","245","0","0","260"
"10007832","Birmingham Newman University","0","130","5","0","135"
"10007811","Bishop Grosseteste University","0","110","0","0","115"
"10004061","Bloomsbury Institute*","0","45","0","0","50"
"10006841","The University of Bolton*","0","490","40","0","530"
"10000385","The Arts University Bournemouth","0","425","0","0","425"
"10000824","Bournemouth University","0","1,045","0","0","1,045"
"10007785","The University of Bradford","0","605","5","0","610"
"10000886","The University of Brighton","0","1,435","0","0","1,440"
"10000936","The University College of Osteopathy*","0","60","0","0","65"
"10007786","The University of Bristol","0","3,675","0","0","3,675"
"10000961","Brunel University London","5","1,380","0","0","1,380"
"10000975","Buckinghamshire New University*","0","540","30","0","570"
"10007788","The University of Cambridge","10","5,935","0","0","5,940"
"10003324","The Institute of Cancer Research","0","685","5","0","690"
"10001143","Canterbury Christ Church University","0","740","0","0","740"
"10007814","Cardiff University","30","3,375","10","0","3,410"
"10007854","Cardiff Metropolitan University","0","885","0","0","885"
"10001264","Central School of Ballet*","0","15","0","0","15"
"10007141","The University of Central Lancashire","0","1,730","50","0","1,780"
"10024024","Central Film School London*","0","5","0","0","5"
"10007848","University of Chester","0","710","0","0","710"
"10007137","The University of Chichester*","0","565","0","0","565"
"10001386","Chicken Shed Theatre Company*","0","0","25","0","25"
"10001478","City, University of London","0","1,825","0","0","1,830"
"10007912","Cliff College*","0","10","0","0","10"
"10066502","The College of Health Ltd*","0","10","0","0","10"
"10007761","Courtauld Institute of Art*","0","90","0","0","90"
"10034324","Court Theatre Training Company Ltd*","0","10","0","0","10"
"10001726","Coventry University","0","3,005","0","0","3,005"
"10007822","Cranfield University","0","745","5","0","755"
"10006427","University for the Creative Arts*","0","400","60","0","460"
"10007842","University of Cumbria","0","575","0","0","575"
"10015688","David Game College Ltd*","0","30","0","0","30"
