﻿Title:,"Table 1 - HE staff by HE provider and activity standard occupational classification"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Academic year,2020/21 
Search:,


"UKPRN","HE Provider","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Clerical and manual occupations","Total academic staff"
"10007783","The University of Aberdeen","0","1,540","5","0","1,545"
"10007849","Abertay University","0","210","0","0","210"
"10007856","Aberystwyth University","0","685","10","0","695"
"10067853","ACM Guildford Limited*","0","110","0","0","110"
"10000163","AECC University College*","0","55","0","0","55"
"10032036","Amity Global Education*","0","0","0","0","0"
"10000291","Anglia Ruskin University","10","795","25","0","830"
"10005451","Arden University*","0","85","0","0","85"
"10007759","Aston University","0","930","0","0","930"
"10038772","British Academy of Jewellery Limited*","0","15","0","0","15"
"10007857","Bangor University","5","960","30","0","995"
"10000571","Bath Spa University","5","605","0","0","610"
"10007850","The University of Bath","0","1,550","0","0","1,550"
"10007152","University of Bedfordshire","0","525","5","0","530"
"10005343","Queen's University Belfast","0","1,975","40","0","2,020"
"10037544","BIMM University*","5","640","0","0","645"
"10007760","Birkbeck College","0","1,075","0","0","1,075"
"10007140","Birmingham City University*","5","1,955","30","0","1,985"
"10006840","The University of Birmingham*","15","3,765","100","0","3,880"
"10000712","University College Birmingham","5","260","0","0","265"
"10007832","Birmingham Newman University","0","125","5","0","130"
"10007811","Bishop Grosseteste University","0","120","0","0","120"
"10004061","Bloomsbury Institute*","0","5","0","0","5"
"10006841","The University of Bolton*","0","390","35","0","425"
"10000385","The Arts University Bournemouth","0","370","0","0","370"
"10000824","Bournemouth University","0","920","0","0","920"
"10007785","The University of Bradford","0","540","0","0","540"
"10000886","The University of Brighton","0","1,415","5","0","1,420"
"10000936","The University College of Osteopathy*","5","75","0","0","80"
"10007786","The University of Bristol","0","3,450","0","0","3,450"
"10000961","Brunel University London","5","1,155","0","0","1,160"
"10000975","Buckinghamshire New University*","0","425","20","0","445"
"10007788","The University of Cambridge","5","6,155","0","0","6,160"
"10003324","The Institute of Cancer Research","0","690","5","0","695"
"10001143","Canterbury Christ Church University","5","735","0","0","740"
"10007814","Cardiff University","35","3,330","15","0","3,380"
