,Enrolment,Department
AC100,141,AC
AC102,594,AC
AC103,324,AC
AC310,117,AC
AC330,202,AC
AC340,33,AC
AN100,91,AN
AN101,73,AN
AN102,55,AN
AN200,54,AN
AN221,16,AN
AN223,46,AN
AN226,68,AN
AN237,30,AN
AN243,57,AN
AN247,17,AN
AN250,6,AN
AN256,54,AN
AN277,7,AN
AN278,27,AN
AN298,49,AN
AN300,53,AN
AN301,53,AN
AN357,61,AN
AN398,54,AN
EC100,392,EC
EC102,806,EC
EC201,603,EC
EC202,128,EC
EC210,574,EC
EC220,313,EC
EC221,194,EC
EC230,109,EC
EC240,37,EC
EC301,45,EC
EC302,68,EC
EC307,107,EC
EC309,9,EC
EC310,27,EC
EC311,54,EC
EC313,36,EC
EC315,142,EC
EC317,70,EC
EC319,16,EC
EC321,111,EC
EC325,231,EC
EC331,9,EC
EC333,28,EC
EC340,34,EC
EH101,202,EH
EH102,36,EH
EH103,23,EH
EH204,49,EH
EH207,68,EH
EH208,13,EH
EH211,32,EH
EH225,43,EH
EH237,69,EH
EH238,23,EH
EH240,77,EH
EH304,19,EH
EH306,18,EH
EH307,21,EH
EH308,22,EH
EH325,14,EH
EH327,8,EH
EH390,73,EH
FM100,53,FM
FM101,258,FM
FM200,35,FM
FM201,34,FM
FM212,298,FM
FM213,394,FM
FM300,306,FM
FM301,30,FM
FM302,30,FM
FM304,30,FM
FM305,30,FM
FM320,42,FM
FM321,30,FM
FM322,30,FM
GV100,245,GV
GV101,363,GV
GV225,45,GV
GV245,92,GV
GV248,66,GV
GV249,78,GV
GV251,60,GV
GV262,90,GV
GV263,35,GV
GV264,106,GV
GV302,23,GV
GV306,14,GV
GV307,16,GV
GV311,28,GV
GV313,21,GV
GV314,15,GV
GV316,15,GV
GV317,18,GV
GV318,25,GV
GV320,18,GV
GV321,10,GV
GV322,15,GV
GV323,16,GV
GV328,15,GV
GV342,31,GV
GV390,30,GV
GV398,15,GV
GV3A1,26,GV
GY100,71,GY
GY103,40,GY
GY120,25,GY
GY121,90,GY
GY140,39,GY
GY144,4,GY
GY202,79,GY
GY205,24,GY
GY206,50,GY
GY207,45,GY
GY209,41,GY
GY210,39,GY
GY220,21,GY
GY222,84,GY
GY245,68,GY
GY246,40,GY
GY247,25,GY
GY308,30,GY
GY309,34,GY
GY310,34,GY
GY311,27,GY
GY312,23,GY
GY313,28,GY
GY314,25,GY
GY315,32,GY
GY316,16,GY
GY326,63,GY
GY327,47,GY
GY328,46,GY
GY329,32,GY
GY331,22,GY
GY350,38,GY
HY113,116,HY
HY116,126,HY
HY118,41,HY
HY119,85,HY
HY200,28,HY
HY206,61,HY
HY221,20,HY
HY226,24,HY
HY232,18,HY
HY235,40,HY
HY238,20,HY
HY239,37,HY
HY240,23,HY
HY241,12,HY
HY242,27,HY
HY243,11,HY
HY244,18,HY
HY245,44,HY
HY246,12,HY
HY300,65,HY
HY311,12,HY
HY315,9,HY
HY319,14,HY
HY320,14,HY
HY322,22,HY
HY323,6,HY
HY327,12,HY
HY328,33,HY
