,Enrolment,Department
HY329,14,HY
HY330,12,HY
IR100,171,IR
IR101,93,IR
IR102,58,IR
IR200,62,IR
IR202,123,IR
IR203,80,IR
IR205,132,IR
IR206,79,IR
IR305,51,IR
IR315,28,IR
IR317,29,IR
IR318,15,IR
IR319,17,IR
IR320,12,IR
IR321,15,IR
IR322,16,IR
IR323,14,IR
IR347,10,IR
IR354,16,IR
IR355,13,IR
IR367,15,IR
IR368,17,IR
IR369,15,IR
IR373,30,IR
IR377,14,IR
IR378,16,IR
IR398,25,IR
LL100,181,LL
LL104,208,LL
LL105,189,LL
LL106,196,LL
LL108,194,LL
LL109,198,LL
LL201,11,LL
LL202,62,LL
LL203,61,LL
LL204,26,LL
LL205,99,LL
LL207,21,LL
LL210,55,LL
LL212,23,LL
LL221,43,LL
LL232,182,LL
LL233,70,LL
LL250,15,LL
LL251,49,LL
LL253,25,LL
LL257,24,LL
LL259,26,LL
LL272,15,LL
LL275,175,LL
LL278,83,LL
LL284,14,LL
LL293,24,LL
LL295,24,LL
LL300,28,LL
LL301,7,LL
LL305,171,LL
LL399,26,LL
LN100,3,LN
LN101,10,LN
LN102,4,LN
LN104,2,LN
LN110,8,LN
LN112,4,LN
LN120,21,LN
LN121,15,LN
LN122,10,LN
LN130,20,LN
LN131,11,LN
LN132,16,LN
LN140,4,LN
LN142,3,LN
LN200,4,LN
LN210,7,LN
LN220,16,LN
LN230,4,LN
LN240,7,LN
LN250,20,LN
LN251,22,LN
LN252,15,LN
LN253,25,LN
LN254,24,LN
LN270,13,LN
LN320,3,LN
LN330,2,LN
LN340,5,LN
MA100,720,MA
MA103,238,MA
MA107,437,MA
MA110,11,MA
MA203,175,MA
MA207,82,MA
MA208,48,MA
MA209,82,MA
MA210,29,MA
MA211,35,MA
MA212,271,MA
MA231,86,MA
MA300,21,MA
MA301,59,MA
MA303,4,MA
MA305,3,MA
MA314,61,MA
MA315,6,MA
MA316,9,MA
MA317,12,MA
MA318,14,MA
MA319,7,MA
MA320,24,MA
MG104,249,MG
MG105,253,MG
MG205,199,MG
MG206,61,MG
MG207,164,MG
MG209,91,MG
MG210,19,MG
MG212,213,MG
MG213,158,MG
MG214,59,MG
MG301,126,MG
MG302,21,MG
MG303,55,MG
MG305,46,MG
MG308,73,MG
MG310,47,MG
MG311,26,MG
MG312,29,MG
MG315,40,MG
PB101,14,PB
PB102,48,PB
PH101,153,PH
PH103,177,PH
PH104,45,PH
PH201,30,PH
PH203,26,PH
PH214,55,PH
PH217,20,PH
PH221,26,PH
PH222,47,PH
PH225,64,PH
PH227,45,PH
PH230,68,PH
PH232,52,PH
PH301,3,PH
PH311,91,PH
PH341,31,PH
PH399,24,PH
SO100,46,SO
SO102,41,SO
SO110,74,SO
SO201,50,SO
SO203,17,SO
SO208,46,SO
SO210,33,SO
SO221,46,SO
SO224,22,SO
SO232,27,SO
SO233,18,SO
SO234,30,SO
SO302,31,SO
SO308,14,SO
SO310,31,SO
SO311,11,SO
SO312,22,SO
SO313,14,SO
ST102,657,ST
ST107,458,ST
ST108,14,ST
ST201,120,ST
ST202,180,ST
ST205,145,ST
ST206,9,ST
ST211,36,ST
ST213,35,ST
ST226,123,ST
ST227,109,ST
ST300,71,ST
ST301,69,ST
ST302,94,ST
ST303,52,ST
ST304,69,ST
ST306,73,ST
ST307,16,ST
ST308,43,ST
ST309,44,ST
ST312,17,ST
ST327,60,ST
ST330,77,ST
