,Enrolment,Department
AC100,115,AC
AC102,547,AC
AC103,290,AC
AC200,162,AC
AC311,125,AC
AC312,126,AC
AC331,142,AC
AC332,66,AC
AC341,104,AC
AN100,98,AN
AN101,61,AN
AN102,55,AN
AN200,76,AN
AN226,88,AN
AN237,20,AN
AN250,49,AN
AN256,51,AN
AN275,30,AN
AN277,11,AN
AN280,31,AN
AN281,28,AN
AN298,40,AN
AN301,43,AN
AN303,40,AN
AN357,44,AN
AN397,37,AN
DS101L,14,DS
DS105L,9,DS
DS105M,15,DS
DS202,46,DS
EC1A1,204,EC
EC1A3,774,EC
EC1A5,144,EC
EC1B1,203,EC
EC1B3,739,EC
EC1B5,137,EC
EC1C1,204,EC
EC1P1,202,EC
EC201,815,EC
EC210,615,EC
EC241,54,EC
EC301,70,EC
EC302,59,EC
EC307,169,EC
EC309,8,EC
EC310,40,EC
EC311,56,EC
EC313,60,EC
EC315,80,EC
EC317,69,EC
EC319,9,EC
EC321,80,EC
EC325,195,EC
EC331,11,EC
EC333,39,EC
EH101,120,EH
EH102,66,EH
EH103,35,EH
EH204,43,EH
EH207,66,EH
EH209,14,EH
EH211,50,EH
EH225,31,EH
EH237,88,EH
EH240,73,EH
EH304,18,EH
EH306,9,EH
EH307,9,EH
EH308,19,EH
EH312,15,EH
EH314,17,EH
EH326,18,EH
EH390,57,EH
EH391,6,EH
EU3A1,20,EU
FM100,53,FM
FM101,335,FM
FM200,62,FM
FM201,62,FM
FM212,371,FM
FM213,534,FM
FM300,310,FM
FM301,47,FM
FM302,47,FM
FM304,47,FM
FM305,47,FM
FM321,47,FM
FM322,47,FM
GV100,278,GV
GV101,253,GV
GV225,43,GV
GV245,71,GV
GV248,79,GV
GV249,88,GV
GV251,64,GV
GV262,89,GV
GV263,85,GV
GV264,55,GV
GV302,17,GV
GV307,28,GV
GV311,34,GV
GV312,12,GV
GV313,17,GV
GV314,14,GV
GV315,24,GV
GV318,27,GV
GV319,13,GV
GV321,13,GV
GV324,3,GV
GV325,14,GV
GV326,16,GV
GV328,15,GV
GV329,17,GV
GV330,13,GV
GV334,15,GV
GV335,14,GV
GV342L,44,GV
GV342M,44,GV
GV390,22,GV
