,Enrolment,Department
EH211,23,EH
EH225,24,EH
EH237,65,EH
EH238,13,EH
EH240,66,EH
EH304,15,EH
EH306,15,EH
EH307,19,EH
EH308,13,EH
EH312,13,EH
EH313,Unavailable,EH
EH314,Unavailable,EH
EH316,Unavailable,EH
EH325,Unavailable,EH
EH326,14,EH
EH327,6,EH
EH390,62,EH
EH391,6,EH
EU3A1,Unavailable,EU
FM100,67,FM
FM101,361,FM
FM200,47,FM
FM201,47,FM
FM212,286,FM
FM213,454,FM
FM300,339,FM
FM301,47,FM
FM302,47,FM
FM304,47,FM
FM305,47,FM
FM320,100,FM
FM321,47,FM
FM322,47,FM
GV100,285,GV
GV101,331,GV
GV225,39,GV
GV245,52,GV
GV248,67,GV
GV249,65,GV
GV251,53,GV
GV252,Unavailable,GV
GV262,65,GV
GV263,52,GV
GV264,38,GV
GV302,32,GV
GV307,28,GV
GV309,Unavailable,GV
GV311,32,GV
GV312,Unavailable,GV
GV313,Unavailable,GV
GV314,Unavailable,GV
GV315,29,GV
GV316,30,GV
GV318,30,GV
GV319,28,GV
GV320,31,GV
GV321,29,GV
GV323,Unavailable,GV
GV324,Unavailable,GV
GV325,29,GV
GV326,Unavailable,GV
GV327,Unavailable,GV
GV328,25,GV
GV329,Unavailable,GV
GV330,Unavailable,GV
GV331,Unavailable,GV
GV332,Unavailable,GV
GV334,Unavailable,GV
GV335,29,GV
GV342L,36,GV
GV342M,36,GV
GV366,Unavailable,GV
GV390,43,GV
GV398,Unavailable,GV
GV3L1,Unavailable,GV
GY100,110,GY
GY101,103,GY
GY103,36,GY
GY120,36,GY
GY121,130,GY
GY140,55,GY
GY144,Unavailable,GY
GY202,73,GY
GY205,19,GY
GY206,45,GY
GY207,47,GY
GY209,63,GY
GY210,52,GY
GY220,34,GY
GY222,83,GY
GY245,58,GY
GY246,32,GY
GY247,24,GY
GY248,8,GY
GY307,39,GY
GY308,Unavailable,GY
GY309,51,GY
GY310,28,GY
GY311,17,GY
GY312,Unavailable,GY
GY313,34,GY
GY314,36,GY
GY315,41,GY
GY316,36,GY
GY326,114,GY
GY327,61,GY
GY328,35,GY
GY329,40,GY
GY331,18,GY
GY350,40,GY
HY113,168,HY
HY116,125,HY
HY118,36,HY
HY120,98,HY
HY200,23,HY
HY206,40,HY
HY221,15,HY
HY226,11,HY
HY232,7,HY
HY235,41,HY
HY238,Unavailable,HY
HY239,26,HY
HY240,27,HY
HY241,9,HY
HY242,26,HY
HY243,Unavailable,HY
HY245,35,HY
HY246,12,HY
HY247,Unavailable,HY
HY300,61,HY
HY311,11,HY
HY315,8,HY
HY319,14,HY
HY320,17,HY
HY322,13,HY
HY323,14,HY
HY325,Unavailable,HY
HY327,12,HY
HY328,22,HY
HY329,Unavailable,HY
HY330,13,HY
HY331,14,HY
HY332,17,HY
HY333,14,HY
HY334,Unavailable,HY
HY335,Unavailable,HY
IR100,183,IR
IR101,118,IR
IR102,101,IR
IR200,64,IR
IR202,96,IR
IR203,58,IR
IR205,108,IR
IR206,88,IR
IR305,30,IR
IR312,27,IR
IR313,Unavailable,IR
IR314,Unavailable,IR
IR315,22,IR
IR317,37,IR
IR318,Unavailable,IR
IR319,37,IR
IR320,Unavailable,IR
IR322,Unavailable,IR
IR323,20,IR
IR324,Unavailable,IR
IR325,16,IR
IR326,Unavailable,IR
IR345,Unavailable,IR
IR349,53,IR
IR354,Unavailable,IR
IR355,23,IR
IR367,29,IR
IR368,22,IR
IR369,28,IR
IR372,Unavailable,IR
IR373,30,IR
IR377,Unavailable,IR
IR378,Unavailable,IR
IR398,45,IR
LL100,221,LL
LL104,226,LL
LL105,230,LL
LL106,228,LL
LL108,225,LL
LL109,228,LL
LL201,Unavailable,LL
LL202,89,LL
LL203,58,LL
LL204,25,LL
LL205,100,LL
LL207,Unavailable,LL
LL210,91,LL
LL212,22,LL
LL221,74,LL
LL232,173,LL
LL233,21,LL
LL241,Unavailable,LL
LL250,24,LL
LL251,34,LL
LL253,25,LL
LL257,16,LL
LL259,25,LL
LL272,22,LL
LL275,170,LL
LL278,62,LL
LL284,22,LL
LL293,21,LL
LL295,Unavailable,LL
LL300,29,LL
LL301,Unavailable,LL
LL305,181,LL
LL342,22,LL
LL398,2,LL
LL399,34,LL
LN100,8,LN
LN101,6,LN
LN102,6,LN
LN104,17,LN
LN110,7,LN
LN112,4,LN
LN115,23,LN
LN120,20,LN
LN121,11,LN
LN122,12,LN
LN130,14,LN
LN131,22,LN
LN132,15,LN
LN140,9,LN
LN142,21,LN
LN200,1,LN
LN210,11,LN
LN220,15,LN
LN230,17,LN
LN240,Unavailable,LN
LN241,9,LN
LN250,22,LN
LN251,23,LN
LN252,14,LN
LN253,25,LN
LN254,22,LN
LN270,10,LN
LN303,Unavailable,LN
LN320,Unavailable,LN
LN330,4,LN
LN340,Unavailable,LN
LN341,Unavailable,LN
LN342,Unavailable,LN
LSE100,Unavailable,LS
MA100,710,MA
MA102,54,MA
MA103,188,MA
MA107,551,MA
MA203,143,MA
MA207,133,MA
MA208,62,MA
MA209,70,MA
MA210,30,MA
MA211,23,MA
MA212,291,MA
MA214,Unavailable,MA
MA222,Unavailable,MA
MA231,61,MA
MA300,20,MA
MA301,55,MA
MA303,Unavailable,MA
MA315,10,MA
MA316,Unavailable,MA
MA317,22,MA
MA318,13,MA
MA319,34,MA
MA320,33,MA
MA321,53,MA
MA322,34,MA
MA323,35,MA
MA333,Unavailable,MA
MA334,13,MA
MG104,296,MG
MG105,286,MG
MG205,161,MG
MG206,59,MG
MG207,148,MG
MG209,126,MG
MG210,Unavailable,MG
MG212,191,MG
MG213,151,MG
MG214,80,MG
MG228,Unavailable,MG
MG301,176,MG
MG302,32,MG
MG303,61,MG
MG305,92,MG
MG307,Unavailable,MG
MG308,58,MG
MG310,Unavailable,MG
MG311,72,MG
MG312,Unavailable,MG
MG315,Unavailable,MG
MG316,83,MG
MY360,Unavailable,MY
MY361,Unavailable,MY
PB100,40,PB
PB101,37,PB
PB102,Unavailable,PB
PB130,34,PB
PB200,29,PB
PB201,29,PB
PB202,29,PB
PB204,29,PB
PB205,29,PB
PB230,29,PB
PB300,Unavailable,PB
PB301,Unavailable,PB
PB302,Unavailable,PB
PB303,Unavailable,PB
PB304,Unavailable,PB
PB307,Unavailable,PB
PB308,Unavailable,PB
PB310,Unavailable,PB
PB312,Unavailable,PB
PB314,Unavailable,PB
PH103,194,PH
PH105,66,PH
PH111,179,PH
PH112,29,PH
PH201,25,PH
PH203,27,PH
PH214,65,PH
PH217,24,PH
PH222,69,PH
PH223,12,PH
PH224,21,PH
PH225,49,PH
PH227,42,PH
PH230,42,PH
PH232,35,PH
PH238,Unavailable,PH
PH301,Unavailable,PH
PH311,74,PH
PH333,28,PH
PH340,47,PH
PH341,36,PH
PH399,26,PH
SO100,81,SO
SO102,59,SO
SO110,88,SO
SO201,48,SO
SO203,22,SO
SO210,Unavailable,SO
SO221,38,SO
SO232,Unavailable,SO
SO234,25,SO
SO235,Unavailable,SO
SO236,16,SO
SO237,Unavailable,SO
SO240,Unavailable,SO
SO244,Unavailable,SO
SO248,Unavailable,SO
SO302,36,SO
SO309,15,SO
SO310,25,SO
SO311,13,SO
SO312,18,SO
SO313,27,SO
SO348,Unavailable,SO
SP100,77,SP
SP101,77,SP
SP110,35,SP
SP111,38,SP
SP112,31,SP
SP200,53,SP
SP201,53,SP
SP210,Unavailable,SP
SP230,26,SP
SP231,Unavailable,SP
SP232,32,SP
SP271,Unavailable,SP
SP331,Unavailable,SP
SP332,Unavailable,SP
SP333,Unavailable,SP
SP335,15,SP
SP336,Unavailable,SP
SP372,Unavailable,SP
SP374,17,SP
SP399,44,SP
ST101,53,ST
ST102,665,ST
ST107,560,ST
ST108,30,ST
ST109,Unavailable,ST
ST110,Unavailable,ST
ST115,Unavailable,ST
ST201,49,ST
ST202,195,ST
ST205,87,ST
ST206,12,ST
ST207,Unavailable,ST
ST211,52,ST
ST213,40,ST
ST226,125,ST
ST227,133,ST
ST300,101,ST
ST301,75,ST
ST302,134,ST
ST303,29,ST
ST304,69,ST
ST306,77,ST
ST307,19,ST
ST308,65,ST
ST309,64,ST
ST310,62,ST
ST311,Unavailable,ST
ST312,Unavailable,ST
ST326,60,ST
ST327,62,ST
ST330,74,ST
