,Enrolment,Department
AC100,144,AC
AC102,579,AC
AC103,369,AC
AC200,131,AC
AC311,120,AC
AC312,132,AC
AC331,179,AC
AC332,195,AC
AC341,116,AC
AC342,Unavailable,AC
AN100,98,AN
AN101,67,AN
AN102,42,AN
AN1E0,Unavailable,AN
AN200,61,AN
AN205,Unavailable,AN
AN221,29,AN
AN223,Unavailable,AN
AN226,71,AN
AN237,25,AN
AN240,Unavailable,AN
AN243,Unavailable,AN
AN245,34,AN
AN247,Unavailable,AN
AN250,Unavailable,AN
AN256,53,AN
AN269,Unavailable,AN
AN275,Unavailable,AN
AN276,Unavailable,AN
AN277,30,AN
AN280,Unavailable,AN
AN281,Unavailable,AN
AN298,41,AN
AN2E0,Unavailable,AN
AN2E6,Unavailable,AN
AN301,56,AN
AN303,52,AN
AN357,59,AN
AN397,54,AN
AN3E1,Unavailable,AN
DS101L,Unavailable,DS
DS101M,Unavailable,DS
DS105L,Unavailable,DS
DS105M,Unavailable,DS
DS202,Unavailable,DS
EC1A1,Unavailable,EC
EC1A3,Unavailable,EC
EC1A5,Unavailable,EC
EC1B1,Unavailable,EC
EC1B3,Unavailable,EC
EC1B5,Unavailable,EC
EC1C1,Unavailable,EC
EC1P1,Unavailable,EC
EC201,602,EC
EC202,113,EC
EC210,660,EC
EC220,370,EC
EC221,191,EC
EC230,97,EC
EC241,53,EC
EC2A1,Unavailable,EC
EC2A3,Unavailable,EC
EC2A5,Unavailable,EC
EC2B1,Unavailable,EC
EC2B3,Unavailable,EC
EC2B5,Unavailable,EC
EC2C1,Unavailable,EC
EC2C3,Unavailable,EC
EC2C4,Unavailable,EC
EC301,82,EC
EC302,53,EC
EC307,128,EC
EC309,12,EC
EC310,42,EC
EC311,55,EC
EC313,53,EC
EC315,118,EC
EC317,77,EC
EC319,Unavailable,EC
EC321,104,EC
EC325,226,EC
EC331,14,EC
EC333,47,EC
EH101,175,EH
EH102,85,EH
EH103,45,EH
EH204,Unavailable,EH
EH207,43,EH
EH209,13,EH
