﻿Title:,"Table 1 - HE staff by HE provider and activity standard occupational classification"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Academic year,2021/22 
Search:,


"UKPRN","HE Provider","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Clerical and manual occupations","Total academic staff"
"10007783","The University of Aberdeen","0","1,620","0","0","1,620"
"10007849","Abertay University","0","220","5","0","225"
"10007856","Aberystwyth University","0","690","5","0","700"
"10067853","ACM Guildford Limited*","0","110","0","0","110"
"10000163","AECC University College*","0","60","0","0","60"
"10032036","Amity Global Education*","0","0","0","0","0"
"10000291","Anglia Ruskin University","10","890","20","0","920"
"10005451","Arden University*","0","335","0","0","335"
"10007759","Aston University","0","950","0","0","950"
"10038772","British Academy of Jewellery Limited*","0","15","0","0","20"
"10007857","Bangor University","5","970","30","0","1,010"
"10000571","Bath Spa University","5","620","5","0","625"
"10007850","The University of Bath","0","1,525","0","0","1,525"
"10007152","University of Bedfordshire","0","530","5","0","540"
"10005343","Queen's University Belfast","0","2,020","25","0","2,045"
"10037544","BIMM University*","5","820","0","0","820"
"10007760","Birkbeck College","0","1,040","0","0","1,040"
"10007140","Birmingham City University*","5","1,995","25","0","2,025"
"10006840","The University of Birmingham*","15","3,995","90","0","4,100"
"10000712","University College Birmingham","10","215","0","0","225"
"10007832","Birmingham Newman University","0","135","5","0","140"
"10007811","Bishop Grosseteste University","5","130","0","0","135"
"10004061","Bloomsbury Institute*","0","35","0","0","35"
"10006841","The University of Bolton*","0","430","35","0","465"
"10000385","The Arts University Bournemouth","0","395","5","0","395"
"10000824","Bournemouth University","0","930","0","0","930"
"10007785","The University of Bradford","0","550","15","0","565"
"10000886","The University of Brighton","0","1,505","5","0","1,510"
"10000936","The University College of Osteopathy*","5","55","0","0","60"
"10007786","The University of Bristol","0","3,595","0","0","3,595"
"10000961","Brunel University London","5","1,310","0","0","1,315"
"10000975","Buckinghamshire New University*","0","490","25","0","515"
"10007788","The University of Cambridge","10","6,120","0","0","6,130"
"10003324","The Institute of Cancer Research","0","675","5","0","680"
"10001143","Canterbury Christ Church University","0","745","0","0","745"
"10007814","Cardiff University","30","3,355","10","0","3,400"
"10007854","Cardiff Metropolitan University","0","770","0","0","770"
"10007141","The University of Central Lancashire","0","1,660","50","0","1,710"
"10024024","Central Film School London*","0","5","0","0","5"
"10007848","University of Chester","5","645","0","0","645"
"10007137","The University of Chichester*","0","510","0","0","510"
"10001386","Chicken Shed Theatre Company*","0","0","25","0","25"
"10001478","City, University of London","0","1,745","5","0","1,750"
"10007912","Cliff College*","0","10","0","0","10"
"10066502","The College of Health Ltd*","0","5","0","0","5"
"10001653","Conservatoire for Dance and Drama*","0","130","0","0","130"
"10007761","Courtauld Institute of Art*","0","80","0","0","80"
"10034324","Court Theatre Training Company Ltd*","0","10","0","0","10"
"10001726","Coventry University","0","2,885","5","0","2,890"
"10007822","Cranfield University","0","720","10","0","730"
"10006427","University for the Creative Arts*","0","375","65","0","440"
"10007842","University of Cumbria","0","520","0","0","520"
"10001883","De Montfort University","0","1,635","0","0","1,635"
"10007851","University of Derby","10","1,350","50","0","1,410"
"10007852","The University of Dundee","0","1,440","5","0","1,445"
"10007143","University of Durham","0","2,260","50","0","2,310"
"10007789","The University of East Anglia","0","1,980","0","0","1,980"
"10007144","The University of East London","10","915","5","0","930"
"10032282","The Queen's Foundation for Ecumenical Theological Education*","0","15","0","0","15"
"10007823","Edge Hill University*","0","940","0","0","945"
"10007772","Edinburgh Napier University","10","880","0","0","890"
"10007790","The University of Edinburgh","5","7,610","105","0","7,725"
"10042570","Escape Studios*","0","40","0","0","40"
"10007791","The University of Essex","0","1,470","30","0","1,500"
"10008173","University College of Estate Management*","0","105","0","0","105"
"10007792","The University of Exeter","5","3,575","5","0","3,585"
"10008640","Falmouth University*","0","355","25","0","380"
"10004511","The National Film and Television School*","5","65","0","0","70"
"10022087","Futureworks*","0","25","0","0","25"
"10007762","Glasgow Caledonian University","0","790","0","0","790"
"10002681","Glasgow School of Art","5","150","70","0","225"
"10007794","The University of Glasgow","5","5,225","25","0","5,255"
"10007145","University of Gloucestershire*","0","670","5","0","675"
"10002718","Goldsmiths College","0","1,170","0","0","1,170"
"10007146","The University of Greenwich","5","945","0","0","955"
"10007825","Guildhall School of Music and Drama","20","790","10","0","820"
"10040812","Harper Adams University*","0","225","5","0","230"
"10080811","Hartpury University","15","120","40","0","175"
"10007764","Heriot-Watt University","0","855","10","0","865"
"10007147","University of Hertfordshire","0","2,045","0","0","2,045"
"10007148","The University of Huddersfield*","0","935","0","0","935"
"10007149","The University of Hull","0","900","10","0","910"
"10003239","ICON College of Technology and Management*","0","25","0","0","25"
"10003270","Imperial College of Science, Technology and Medicine","0","4,435","5","0","4,440"
"10013220","Institute of Art - London Limited*","0","20","0","0","20"
"10035638","Institute of Contemporary Music Performance*","0","20","0","0","20"
"10082570","Kaplan International Colleges U.K. Limited","0","410","0","0","410"
"10021682","Kaplan Open Learning (Essex) Limited*","0","25","0","0","25"
"10007767","Keele University","0","830","10","0","840"
"10007150","The University of Kent","0","1,435","0","0","1,435"
"10003645","King's College London","0","5,710","5","0","5,715"
"10003678","Kingston University","5","925","30","0","955"
"10003758","LAMDA Limited","0","55","0","0","55"
"10007768","The University of Lancaster","5","2,235","0","0","2,240"
"10003854","Leeds Arts University","0","165","5","0","170"
"10003861","Leeds Beckett University","0","1,405","35","0","1,440"
"10034449","Leeds Conservatoire","5","250","0","0","250"
"10007795","The University of Leeds","5","3,745","5","0","3,760"
"10003863","Leeds Trinity University","0","205","0","0","205"
"10082828","College of Legal Practice Limited*","0","5","0","0","5"
"10007796","The University of Leicester","5","1,650","0","0","1,655"
"10007151","The University of Lincoln","0","1,400","0","0","1,405"
"10036456","Academy of Live Technology Ltd*","0","15","0","0","15"
"10003956","Liverpool Hope University*","0","330","0","0","335"
"10003957","Liverpool John Moores University*","0","1,635","50","0","1,690"
"10003945","The Liverpool Institute for Performing Arts*","0","100","0","0","100"
"10006842","The University of Liverpool","5","3,090","10","0","3,110"
"10003958","Liverpool School of Tropical Medicine","0","245","0","0","250"
"10007162","University of the Arts, London","0","3,670","0","0","3,670"
"10013109","London Bridge Business Academy*","0","0","0","0","0"
"10007769","London Business School*","0","110","0","0","110"
"10007797","University of London (Institutes and activities)*","10","70","0","0","75"
"10004036","London Film School Limited*","0","25","10","0","40"
"10004048","London Metropolitan University","5","460","5","0","470"
"10004078","London South Bank University*","5","1,135","60","0","1,195"
"10004063","London School of Economics and Political Science","5","1,825","0","0","1,830"
"10007771","London School of Hygiene and Tropical Medicine","0","1,090","0","0","1,090"
"10022285","London School of Management Education*","0","15","0","0","15"
"10004075","London School of Theology*","5","20","0","0","25"
"10062810","The London School of Architecture*","0","5","0","0","5"
"10008289","The London Institute of Banking & Finance*","0","30","0","0","30"
"10067623","The London Interdisciplinary School Ltd*","0","10","0","0","10"
"10004113","Loughborough University","0","1,535","55","0","1,590"
"10009612","Luther King House Educational Trust*","0","5","0","0","5"
"10004180","The Manchester Metropolitan University","5","2,230","85","0","2,320"
"10007798","The University of Manchester","0","5,280","0","0","5,280"
"10023453","Matrix College of Counselling and Psychotherapy Ltd*","0","0","0","0","0"
"10030776","St Mellitus College*","0","35","0","0","35"
"10004320","The Metanoia Institute*","5","95","0","0","95"
"10004351","Middlesex University","5","930","5","0","935"
"10023777","Mont Rose College of Management and Sciences*","0","40","0","0","40"
"10023454","Moorlands College*","0","25","0","0","25"
"10004538","Nazarene Theological College*","0","20","0","0","20"
"10030129","Nelson College London Ltd","0","10","0","0","10"
"10007799","Newcastle University","25","3,005","0","0","3,030"
"10067406","New Model Institute for Technology and Engineering (NMITE)*","0","15","0","0","15"
"10048199","Northeastern University London*","5","85","0","0","90"
"10007138","The University of Northampton","20","840","0","0","860"
"10001282","University of Northumbria at Newcastle","0","1,720","0","0","1,720"
"10004775","Norwich University of the Arts*","0","240","0","0","240"
"10007154","University of Nottingham*","0","3,530","10","0","3,540"
"10004797","The Nottingham Trent University*","0","2,610","0","0","2,610"
"10007773","The Open University*","0","5,800","0","0","5,800"
"10004930","Oxford Brookes University","5","1,535","35","0","1,570"
"10007774","The University of Oxford","0","6,940","10","0","6,945"
"10005127","Arts University Plymouth*","0","120","0","0","120"
"10007801","University of Plymouth*","10","1,600","25","0","1,635"
"10019178","Point Blank Music School*","0","85","0","0","85"
"10007155","The University of Portsmouth","5","1,765","20","0","1,785"
"10005337","Queen Margaret University, Edinburgh","0","300","0","0","300"
"10007775","Queen Mary University of London","5","3,285","15","0","3,300"
"10009292","Royal Academy of Dramatic Art*","0","75","0","0","75"
"10005389","Ravensbourne University London","0","225","0","0","225"
"10007802","The University of Reading","15","1,675","0","0","1,690"
"10008455","Regent College London*","0","135","0","0","135"
"10005500","Robert Gordon University","0","640","0","0","640"
"10007776","Roehampton University","0","485","15","0","500"
"10005523","Rose Bruford College of Theatre and Performance*","0","105","0","0","105"
"10007835","Royal Academy of Music*","0","300","0","0","300"
"10005545","Royal Agricultural University*","5","60","0","0","65"
"10007777","Royal College of Art","0","190","0","0","190"
"10007778","Royal College of Music*","0","285","0","0","285"
"10005561","Royal Conservatoire of Scotland","0","335","0","0","335"
"10007816","The Royal Central School of Speech and Drama","5","80","0","0","85"
"10005553","Royal Holloway and Bedford New College","0","1,160","0","0","1,165"
"10007837","Royal Northern College of Music","0","310","0","0","310"
"10007779","The Royal Veterinary College","0","295","5","0","300"
"10007803","The University of St. Andrews","0","1,355","0","0","1,355"
"10007839","SAE Education Limited*","0","50","0","0","50"
"10007782","St George's, University of London","5","475","0","0","480"
"10008026","St Mary's University College","0","60","0","0","60"
"10007843","St Mary's University, Twickenham","0","450","0","0","450"
"10007156","The University of Salford","5","1,065","0","0","1,065"
"10007780","SOAS University of London","5","510","0","0","515"
"10005700","SRUC","20","360","60","0","440"
"10005790","Sheffield Hallam University","0","2,095","0","0","2,095"
"10007157","The University of Sheffield","0","3,610","0","0","3,610"
"10006022","Solent University","0","570","5","0","575"
"10007158","The University of Southampton","5","2,590","0","0","2,600"
"10006093","Spurgeon's College*","0","15","0","0","15"
"10006299","Staffordshire University","15","965","35","0","1,015"
"10007804","The University of Stirling","0","970","20","0","990"
"10037449","University of St Mark and St John","0","120","0","0","120"
