,Enrolment,Department
HY240,23,HY
HY241,10,HY
HY242,24,HY
HY243,12,HY
HY245,42,HY
HY246,15,HY
HY247,14,HY
HY300,62,HY
HY311,10,HY
HY315,10,HY
HY319,11,HY
HY320,20,HY
HY322,30,HY
HY323,12,HY
HY328,24,HY
HY329,13,HY
HY330,19,HY
HY331,15,HY
HY332,14,HY
IR100,170,IR
IR101,98,IR
IR102,69,IR
IR200,68,IR
IR202,111,IR
IR203,61,IR
IR205,127,IR
IR206,101,IR
IR312,12,IR
IR313,15,IR
IR314,15,IR
IR315,25,IR
IR318,14,IR
IR319,15,IR
IR321,18,IR
IR322,20,IR
IR323,15,IR
IR325,9,IR
IR326,16,IR
IR349,31,IR
IR355,15,IR
IR367,30,IR
IR368,19,IR
IR369,15,IR
IR372,25,IR
IR373,30,IR
IR378,17,IR
IR398,40,IR
LL100,173,LL
LL104,182,LL
LL105,175,LL
LL106,182,LL
LL108,181,LL
LL109,182,LL
LL202,88,LL
LL203,77,LL
LL204,24,LL
LL205,88,LL
LL207,24,LL
LL210,70,LL
LL212,21,LL
LL221,48,LL
LL232,194,LL
LL233,30,LL
LL241,12,LL
LL250,23,LL
LL251,49,LL
LL257,26,LL
LL259,30,LL
LL272,23,LL
LL275,187,LL
LL278,77,LL
LL284,18,LL
LL293,25,LL
LL295,24,LL
LL300,28,LL
LL305,177,LL
LL342,20,LL
LL398,2,LL
LL399,19,LL
LN100,2,LN
LN101,11,LN
LN102,9,LN
LN104,16,LN
LN110,10,LN
LN112,5,LN
LN115,19,LN
LN120,18,LN
LN121,16,LN
LN122,10,LN
LN130,19,LN
LN131,19,LN
LN132,18,LN
LN140,3,LN
LN142,9,LN
LN200,2,LN
LN210,3,LN
LN220,15,LN
LN230,11,LN
LN240,2,LN
LN250,23,LN
LN251,25,LN
LN252,16,LN
LN253,24,LN
LN254,24,LN
LN270,3,LN
LN320,2,LN
LN330,2,LN
LN340,1,LN
MA100,605,MA
MA103,203,MA
MA107,439,MA
MA110,14,MA
MA203,173,MA
MA207,150,MA
MA208,57,MA
MA209,89,MA
MA210,43,MA
MA211,31,MA
MA212,283,MA
MA231,73,MA
MA300,22,MA
MA301,47,MA
MA303,11,MA
MA314,90,MA
MA315,12,MA
MA316,12,MA
MA317,16,MA
MA318,13,MA
MA319,28,MA
MA320,23,MA
MA321,24,MA
MA322,14,MA
MA323,30,MA
MG104,223,MG
MG105,232,MG
MG205,201,MG
MG206,50,MG
MG207,175,MG
MG209,89,MG
MG210,22,MG
MG212,228,MG
MG213,129,MG
MG214,123,MG
MG301,142,MG
MG302,36,MG
MG303,46,MG
MG305,81,MG
MG308,66,MG
MG310,47,MG
MG311,58,MG
MG315,50,MG
MG316,50,MG
PB100,40,PB
PB101,35,PB
PB102,47,PB
PB130,31,PB
PH103,155,PH
PH201,39,PH
PH203,25,PH
PH214,53,PH
PH217,21,PH
PH222,86,PH
PH225,52,PH
PH230,41,PH
PH232,45,PH
PH311,60,PH
PH333,32,PH
PH341,34,PH
PH399,28,PH
SO100,54,SO
SO102,40,SO
SO110,87,SO
SO201,40,SO
SO203,18,SO
SO208,49,SO
SO210,29,SO
SO221,39,SO
SO224,41,SO
SO232,28,SO
SO234,15,SO
SO235,26,SO
SO236,19,SO
SO302,46,SO
SO309,18,SO
SO310,19,SO
SO312,29,SO
SO313,26,SO
SP100,59,SP
SP101,57,SP
SP110,31,SP
SP111,32,SP
SP112,20,SP
SP200,45,SP
SP201,44,SP
SP230,14,SP
SP231,24,SP
SP232,21,SP
SP271,26,SP
SP331,12,SP
SP332,8,SP
SP335,13,SP
SP399,34,SP
ST102,579,ST
ST107,435,ST
ST108,21,ST
ST201,100,ST
ST202,226,ST
ST205,138,ST
ST206,20,ST
ST211,52,ST
ST213,37,ST
ST226,162,ST
ST227,172,ST
ST300,99,ST
ST301,73,ST
ST302,115,ST
ST303,42,ST
ST304,63,ST
ST306,70,ST
ST307,22,ST
ST308,67,ST
ST309,58,ST
ST312,6,ST
ST326,53,ST
ST327,52,ST
ST330,71,ST
