,Enrolment,Department
AC100,114,AC
AC102,528,AC
AC103,334,AC
AC200,152,AC
AN100,92,AN
AN101,62,AN
AN102,46,AN
AN200,70,AN
AN205,13,AN
AN226,69,AN
AN237,19,AN
AN240,12,AN
AN252,22,AN
AN256,51,AN
AN269,25,AN
AN280,32,AN
AN281,32,AN
AN298,50,AN
AN301,43,AN
AN357,45,AN
EC100,351,EC
EC102,745,EC
EC201,691,EC
EC202,117,EC
EC210,654,EC
EC220,315,EC
EC221,162,EC
EC230,160,EC
EC301,63,EC
EC302,49,EC
EC307,102,EC
EC309,14,EC
EC310,21,EC
EC311,50,EC
EC313,46,EC
EC315,108,EC
EC317,75,EC
EC319,23,EC
EC321,101,EC
EC325,262,EC
EC331,11,EC
EC333,38,EC
EH101,161,EH
EH102,66,EH
EH103,35,EH
EH204,31,EH
EH207,78,EH
EH211,36,EH
EH225,29,EH
EH237,67,EH
EH238,19,EH
EH240,72,EH
EH304,15,EH
EH306,16,EH
EH307,24,EH
EH308,19,EH
EH312,9,EH
EH316,16,EH
EH326,16,EH
EH390,66,EH
FM100,50,FM
FM101,276,FM
FM200,47,FM
FM201,47,FM
FM212,334,FM
FM213,462,FM
FM300,304,FM
FM301,34,FM
FM302,34,FM
FM304,34,FM
FM305,34,FM
FM320,81,FM
FM321,34,FM
FM322,35,FM
GV100,239,GV
GV101,291,GV
GV225,76,GV
GV245,63,GV
GV248,88,GV
GV249,81,GV
GV251,61,GV
GV262,91,GV
GV263,58,GV
GV264,78,GV
GV302,32,GV
GV306,14,GV
GV308,3,GV
GV309,14,GV
GV311,32,GV
GV312,8,GV
GV313,13,GV
GV314,12,GV
GV315,15,GV
GV316,15,GV
GV318,24,GV
GV319,3,GV
GV320,13,GV
GV323,16,GV
GV324,7,GV
GV325,5,GV
GV328,15,GV
GV335,17,GV
GV366,17,GV
GV390,37,GV
GV3A1,29,GV
GY100,76,GY
GY101,79,GY
GY103,38,GY
GY120,35,GY
GY121,81,GY
GY140,38,GY
GY144,13,GY
GY202,72,GY
GY205,23,GY
GY206,51,GY
GY207,51,GY
GY209,55,GY
GY210,46,GY
GY220,34,GY
GY222,84,GY
GY245,53,GY
GY246,30,GY
GY247,20,GY
GY248,12,GY
GY307,47,GY
GY308,25,GY
GY309,27,GY
GY310,30,GY
GY311,25,GY
GY312,21,GY
GY313,32,GY
GY314,31,GY
GY316,22,GY
GY326,71,GY
GY327,35,GY
GY328,38,GY
GY329,36,GY
GY331,34,GY
GY350,46,GY
HY113,138,HY
HY116,133,HY
HY118,31,HY
HY119,76,HY
HY200,27,HY
HY206,49,HY
HY221,19,HY
HY226,15,HY
HY232,16,HY
HY235,49,HY
HY239,14,HY
